medalist_wikidata_id,medalist_link,medalist_name,medal,delegation_wikidata_id,delegation_link,delegation_name,country_medal_wikidata_id,country_medal,country_medal_code2,country_medal_code3,country_medal_ioc_country_code,country_medal_NUTS_code,date_of_birth,place_of_birth_wikidata_id,place_of_birth,place_of_birth_located_in_wikidata_id,place_of_birth_located_in,place_of_birth_coordinates,lat,lon,sex_or_gender_wikidata_id,sex_or_gender,event_wikidata_id,event_link,event_name,event_part_of_wikidata_id,event_part_of,event_sport_wikidata_id,event_sport,event_part_of_sport_wikidata_id,event_part_of_sport,sport_wikidata_id,sport,nuts1_id,nuts1_name,nuts2_id,nuts2_name,nuts3_id,nuts3_name,nuts2_population,nuts3_population,nuts2_gdp,nuts3_gdp,nuts0_id,nuts0_name
Q1934061,https://en.wikipedia.org/wiki/Wietse_van_Alten,Wietse van Alten,bronze,Q795076,https://en.wikipedia.org/wiki/Netherlands_at_the_2000_Summer_Olympics,Netherlands at the 2000 Summer Olympics,Q55,Netherlands,NL,NLD,NED,NL,1978-09-24,Q9978,Zaanstad,Q701,North Holland,"52.4697,4.7767",52.4697,4.7767,Q6581097,male,Q4786054,https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_individual,archery at the 2000 Summer Olympics – men's individual,Q575661,archery at the 2000 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NL3,West-Nederland,NL32,Noord-Holland,NL325,Zaanstreek,2952622,176230,203765.09,5955.31,NL,Netherlands
Q932697,https://en.wikipedia.org/wiki/Matteo_Bisiani,Matteo Bisiani,silver,Q2445334,https://en.wikipedia.org/wiki/Italy_at_the_2000_Summer_Olympics,Italy at the 2000 Summer Olympics,Q38,Italy,IT,ITA,ITA,IT,1978-08-02,Q53133,Monfalcone,Q104182151,regional decentralization entity of Gorizia,"45.8,13.533333333333",45.8,13.533333333333,Q6581097,male,Q4786058,https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 2000 Summer Olympics – men's team,Q575661,archery at the 2000 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,ITH,Nord-Est,ITH4,Friuli-Venezia Giulia,ITH43,Gorizia,1194248,138034,43048.67,4114.53,IT,Italy
Q429266,https://en.wikipedia.org/wiki/Ilario_Di_Bu%C3%B2,Ilario Di Buò,silver,Q2445334,https://en.wikipedia.org/wiki/Italy_at_the_2000_Summer_Olympics,Italy at the 2000 Summer Olympics,Q38,Italy,IT,ITA,ITA,IT,1965-12-13,Q546,Trieste,Q104182228,regional decentralization entity of Trieste,"45.6502777777778,13.7702777777778",45.6502777777778,13.7702777777778,Q6581097,male,Q4786058,https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 2000 Summer Olympics – men's team,Q575661,archery at the 2000 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,ITH,Nord-Est,ITH4,Friuli-Venezia Giulia,ITH44,Trieste,1194248,228705,43048.67,8912.67,IT,Italy
Q516109,https://en.wikipedia.org/wiki/Michele_Frangilli,Michele Frangilli,silver,Q2445334,https://en.wikipedia.org/wiki/Italy_at_the_2000_Summer_Olympics,Italy at the 2000 Summer Olympics,Q38,Italy,IT,ITA,ITA,IT,1976-05-01,Q40854,Gallarate,Q16299,Province of Varese,"45.6649,8.7914",45.6649,8.7914,Q6581097,male,Q4786058,https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 2000 Summer Olympics – men's team,Q575661,archery at the 2000 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,ITC,Nord-Ovest,ITC4,Lombardia,ITC41,Varese,9976509,879731,439986.38,26851.88,IT,Italy
Q468171,https://en.wikipedia.org/wiki/Nataliya_Burdeyna,Nataliya Burdeyna,silver,Q1076807,https://en.wikipedia.org/wiki/Ukraine_at_the_2000_Summer_Olympics,Ukraine at the 2000 Summer Olympics,Q212,Ukraine,UA,UKR,UKR,NA,1974-01-30,Q1874,Odesa,Q105822583,Odesa Urban Hromada,"46.47747,30.73262",46.47747,30.73262,Q6581072,female,Q579346,https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_team,archery at the 2000 Summer Olympics – women's team,Q575661,archery at the 2000 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,UA4,Macroregion_04,UA42,Odeska Oblast,UA425,Odeskyi Raion,NA,NA,NA,NA,UA,Ukraine
Q458447,https://en.wikipedia.org/wiki/Olena_Sadovnycha,Olena Sadovnycha,silver,Q1076807,https://en.wikipedia.org/wiki/Ukraine_at_the_2000_Summer_Olympics,Ukraine at the 2000 Summer Olympics,Q212,Ukraine,UA,UKR,UKR,NA,1967-11-04,Q1899,Kyiv,Q212,Ukraine,"50.45,30.523611111111",50.45,30.523611111111,Q6581072,female,Q579346,https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_team,archery at the 2000 Summer Olympics – women's team,Q575661,archery at the 2000 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,UA6,Macroregion_06,UA63,M. Kyiv,UA630,M. Kyiv,NA,NA,NA,NA,UA,Ukraine
Q461501,https://en.wikipedia.org/wiki/Kateryna_Serdyuk_(archer),Kateryna Serdiuk,silver,Q1076807,https://en.wikipedia.org/wiki/Ukraine_at_the_2000_Summer_Olympics,Ukraine at the 2000 Summer Olympics,Q212,Ukraine,UA,UKR,UKR,NA,1983-01-22,Q42308,Kharkiv,Q102428285,Kharkiv Raion,"49.9925,36.2311111111111",49.9925,36.2311111111111,Q6581072,female,Q579346,https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_team,archery at the 2000 Summer Olympics – women's team,Q575661,archery at the 2000 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,UA1,Macroregion_01,UA13,Kharkivska Oblast,UA136,Kharkivskyi Raion,NA,NA,NA,NA,UA,Ukraine
Q70750,https://en.wikipedia.org/wiki/Barbara_Mensing,Barbara Mensing,bronze,Q148380,https://en.wikipedia.org/wiki/Germany_at_the_2000_Summer_Olympics,Germany at the 2000 Summer Olympics,Q183,Germany,DE,DEU,GER,DE,1960-09-23,Q3985,Herten,Q6214,Recklinghausen,"51.6,7.13333333333333",51.6,7.13333333333333,Q6581072,female,Q579346,https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_team,archery at the 2000 Summer Olympics – women's team,Q575661,archery at the 2000 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,DEA,Nordrhein-Westfalen,DEA3,Münster,DEA36,Recklinghausen,2664280,619732,102684.31,17048.7,DE,Germany
Q68196,https://en.wikipedia.org/wiki/Cornelia_Pfohl,Cornelia Pfohl,bronze,Q148380,https://en.wikipedia.org/wiki/Germany_at_the_2000_Summer_Olympics,Germany at the 2000 Summer Olympics,Q183,Germany,DE,DEU,GER,DE,1971-07-23,Q504236,Erlabrunn,Q10458,Würzburg,"49.866666666667,9.85",49.866666666667,9.85,Q6581072,female,Q579346,https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_team,archery at the 2000 Summer Olympics – women's team,Q575661,archery at the 2000 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,DE2,Bayern,DE26,Unterfranken,DE26C,"Würzburg, Landkreis",1334376,165339,61197.6,4866.24,DE,Germany
Q71527,https://en.wikipedia.org/wiki/Sandra_Wagner-Sachse,Sandra Wagner-Sachse,bronze,Q148380,https://en.wikipedia.org/wiki/Germany_at_the_2000_Summer_Olympics,Germany at the 2000 Summer Olympics,Q183,Germany,DE,DEU,GER,DE,1969-09-09,Q10929,Eslohe,Q5946,Hochsauerlandkreis,"51.25,8.1666666666667",51.25,8.1666666666667,Q6581072,female,Q579346,https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_team,archery at the 2000 Summer Olympics – women's team,Q575661,archery at the 2000 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,DEA,Nordrhein-Westfalen,DEA5,Arnsberg,DEA57,Hochsauerlandkreis,3600754,261647,142593.14,10268.33,DE,Germany
