nuts2_id,nuts2_name,country,medals,nuts2_population,medals_per_million_residents
HU11,Budapest,Hungary,33,1671004,19.748606227154454
NO06,Trøndelag/Trööndelage,Norway,5,478470,10.44997596505528
NO09,Agder og Sør-Østlandet,Norway,7,745152,9.394056514643992
NO02,Innlandet,Norway,3,373628,8.02937681330093
NL41,Noord-Brabant,Netherlands,20,2626210,7.615537219034274
LT02,Vidurio ir vakarų Lietuvos regionas ,Lithuania,15,2008555,7.468055393056202
DK04,Midtjylland,Denmark,10,1358879,7.359006946166657
NL11,Groningen,Netherlands,4,596075,6.710564945686365
ME00,Crna Gora,Montenegro,4,616695,6.486188472421538
DE40,Brandenburg,Germany,16,2573135,6.218095824742969
DE80,Mecklenburg-Vorpommern,Germany,10,1628378,6.141080265147282
RS11,City of Belgrade,Serbia,10,1683033,5.941654144630557
SE23,Västsverige,Sweden,12,2101461,5.710312967977992
NO0A,Vestlandet,Norway,8,1406920,5.6861797401415854
NO08,Oslo og Viken,Norway,11,2001278,5.496487744331372
HR05,Grad Zagreb,Croatia,4,768624,5.20410499802244
RS12,Autonomous Province of Vojvodina,Serbia,9,1738651,5.1764270115164
RO22,Sud-Est,Romania,12,2353162,5.099521409915679
DEE0,Sachsen-Anhalt,Germany,11,2186643,5.030542251295707
EL62,Ionia Nisia,Greece,1,202185,4.945965328783045
FRY1,Guadeloupe,France,2,410013,4.877894115552434
NL32,Noord-Holland,Netherlands,14,2952622,4.7415483593904
BG42,Yuzhen tsentralen,Bulgaria,6,1301026,4.611744884421987
ES22,Comunidad Foral de Navarra,Spain,3,672155,4.4632562429796705
NL42,Limburg (NL),Netherlands,5,1128367,4.431182407851346
DED2,Dresden,Germany,7,1598250,4.379790395745347
RO21,Nord-Est,Romania,14,3224213,4.342144889310973
HU33,Dél-Alföld,Hungary,5,1200150,4.166145898429363
HU22,Nyugat-Dunántúl,Hungary,4,982924,4.069490621858862
SE12,Östra Mellansverige,Sweden,7,1763645,3.969052728865503
ITH1,Provincia Autonoma di Bolzano/Bozen,Italy,2,534147,3.74428762119791
AL03,Jug,Albania,3,812778,3.691044787137447
HU31,Észak-Magyarország,Hungary,4,1093790,3.6570091150952195
DED4,Chemnitz,Germany,5,1411556,3.5421903204690426
RO32,Bucureşti-Ilfov,Romania,8,2290125,3.493259101577425
ITF2,Molise,Italy,1,290636,3.4407299852736757
NL21,Overijssel,Netherlands,4,1184333,3.377428476619329
ITI3,Marche,Italy,5,1484298,3.3685957941060356
ITH4,Friuli-Venezia Giulia,Italy,4,1194248,3.3493880668001954
DK03,Syddanmark,Denmark,4,1237413,3.2325504904183164
PL43,Lubuskie,Poland,3,952793,3.148637741880975
ES23,La Rioja,Spain,1,322282,3.1028726394896395
PL63,Pomorskie,Poland,7,2295745,3.0491191312624006
HU12,Pest,Hungary,4,1328790,3.0102574522686054
DE26,Unterfranken,Germany,4,1334376,2.9976558331384857
BG31,Severozapaden,Bulgaria,2,671502,2.9783976816152444
DE30,Berlin,Germany,11,3755251,2.929231627925803
EE00,Eesti,Estonia,4,1365884,2.928506373894123
DE50,Bremen,Germany,2,684864,2.920287823567891
