event_name,medal,medalist_name,medalist_wikidata_id,country_medal,delegation_name,sex_or_gender
football at the 1996 Summer Olympics – women's tournament,bronze,Kjersti Thun,Q4982721,Norway,Norway at the 1996 Summer Olympics,female
football at the 1996 Summer Olympics – women's tournament,bronze,Ingrid Sternhoff,Q3429928,Norway,Norway at the 1996 Summer Olympics,female
gymnastics at the 1996 Summer Olympics – men's horizontal bar,bronze,Fan Bin,Q963910,People's Republic of China,China at the 1996 Summer Olympics,male
gymnastics at the 1996 Summer Olympics – men's artistic team all-around,silver,Fan Bin,Q963910,People's Republic of China,China at the 1996 Summer Olympics,male
gymnastics at the 1996 Summer Olympics – men's artistic team all-around,silver,Fan Hongbin,Q963810,People's Republic of China,China at the 1996 Summer Olympics,male
gymnastics at the 1996 Summer Olympics – men's artistic team all-around,silver,Huang Huadong,Q963550,People's Republic of China,China at the 1996 Summer Olympics,male
gymnastics at the 1996 Summer Olympics – men's artistic team all-around,silver,Shen Jian,Q963505,People's Republic of China,China at the 1996 Summer Olympics,male
gymnastics at the 1996 Summer Olympics – men's artistic team all-around,silver,Zhang Jinjing,Q963525,People's Republic of China,China at the 1996 Summer Olympics,male
handball at the 1996 Summer Olympics – women's tournament,silver,Cho Eun-hee,Q2580342,South Korea,South Korea at the 1996 Summer Olympics,female
handball at the 1996 Summer Olympics – women's tournament,silver,Han Sun-hee,Q2580637,South Korea,South Korea at the 1996 Summer Olympics,female
handball at the 1996 Summer Olympics – women's tournament,silver,Kim Cheong-sim,Q2581007,South Korea,South Korea at the 1996 Summer Olympics,female
handball at the 1996 Summer Olympics – women's tournament,silver,Kim Eun-mi,Q2581376,South Korea,South Korea at the 1996 Summer Olympics,female
handball at the 1996 Summer Olympics – women's tournament,silver,Kim Jeong-mi,Q2580595,South Korea,South Korea at the 1996 Summer Olympics,female
handball at the 1996 Summer Olympics – women's tournament,silver,Kim Mi-sim,Q2580609,South Korea,South Korea at the 1996 Summer Olympics,female
handball at the 1996 Summer Olympics – women's tournament,silver,Kim Rang,Q2580586,South Korea,South Korea at the 1996 Summer Olympics,female
handball at the 1996 Summer Olympics – women's tournament,silver,Kwag Hye-jeong,Q2580357,South Korea,South Korea at the 1996 Summer Olympics,female
handball at the 1996 Summer Olympics – women's tournament,silver,Moon Hyang-ja,Q2580647,South Korea,South Korea at the 1996 Summer Olympics,female
handball at the 1996 Summer Olympics – women's tournament,silver,Oh Yong-ran,Q1953626,South Korea,South Korea at the 1996 Summer Olympics,female
handball at the 1996 Summer Olympics – women's tournament,silver,Park Jeong-Lim,Q4971896,South Korea,South Korea at the 1996 Summer Olympics,female
judo at the 1996 Summer Olympics – men's 71 kg,silver,Kwak Dae-sung,Q5927207,South Korea,South Korea at the 1996 Summer Olympics,male
judo at the 1996 Summer Olympics – women's 56 kg,silver,Jung Sun-yong,Q5962386,South Korea,South Korea at the 1996 Summer Olympics,female
judo at the 1996 Summer Olympics – women's 61 kg,bronze,Jung Sung-sook,Q5296190,Netherlands,Netherlands at the 1996 Summer Olympics,female
judo at the 1996 Summer Olympics – women's 66 kg,gold,Cho Min-sun,Q492866,South Korea,South Korea at the 1996 Summer Olympics,female
judo at the 1996 Summer Olympics – women's 66 kg,bronze,Wang Xianbo,Q7967677,People's Republic of China,China at the 1996 Summer Olympics,female
rowing at the 1996 Summer Olympics – women's quadruple sculls,silver,Dina Miftakhutdynova,Q5277856,Ukraine,Ukraine at the 1996 Summer Olympics,female
rowing at the 1996 Summer Olympics – men's eight,bronze,Roman Monchenko,Q7362095,Russia,Russia at the 1996 Summer Olympics,male
rowing at the 1996 Summer Olympics – men's eight,bronze,Vladimir Sokolov,Q7938651,Russia,Russia at the 1996 Summer Olympics,male
shooting at the 1996 Summer Olympics – men's 10 metre running target,silver,Xiao Jun,Q8044217,People's Republic of China,China at the 1996 Summer Olympics,male
volleyball at the 1996 Summer Olympics – women's tournament,silver,Liu Xiaoning,Q18276848,People's Republic of China,China at the 1996 Summer Olympics,female
volleyball at the 1996 Summer Olympics – women's tournament,silver,Pan Wenli,Q18279349,People's Republic of China,China at the 1996 Summer Olympics,female
volleyball at the 1996 Summer Olympics – women's tournament,silver,Sun Yue,Q987416,People's Republic of China,China at the 1996 Summer Olympics,female
volleyball at the 1996 Summer Olympics – women's tournament,silver,Wang Yi,Q7967717,People's Republic of China,China at the 1996 Summer Olympics,female
volleyball at the 1996 Summer Olympics – women's tournament,silver,Wang Ziling,Q7967785,People's Republic of China,China at the 1996 Summer Olympics,female
volleyball at the 1996 Summer Olympics – women's tournament,silver,Wu Yongmei,Q8039008,People's Republic of China,China at the 1996 Summer Olympics,female
volleyball at the 1996 Summer Olympics – women's tournament,silver,Zhu Yunying,Q8071171,People's Republic of China,China at the 1996 Summer Olympics,female
weightlifting at the 1996 Summer Olympics – men's 54 kg,silver,Zhang Xiangsen,Q8070343,People's Republic of China,China at the 1996 Summer Olympics,male
weightlifting at the 1996 Summer Olympics – men's 70 kg,silver,Kim Myong-nam,Q26483245,North Korea,North Korea at the 1996 Summer Olympics,male
weightlifting at the 1996 Summer Olympics – men's 76 kg,bronze,Jon Chol-ho,Q27656476,North Korea,North Korea at the 1996 Summer Olympics,male
wrestling at the 1996 Summer Olympics – men's freestyle 57 kg,bronze,Ri Yong-Sam,Q6069883,North Korea,North Korea at the 1996 Summer Olympics,male
