event_name,medal,medalist_name,medalist_wikidata_id,country_medal,delegation_name,sex_or_gender
swimming at the 1996 Summer Olympics – women's 100 metre butterfly,silver,Liu Limin,Q1866055,People's Republic of China,China at the 1996 Summer Olympics,female
swimming at the 1996 Summer Olympics – women's 4 × 100 metre freestyle relay,gold,Lisa Jacob,Q5547596,United States of America,United States at the 1996 Summer Olympics,female
swimming at the 1996 Summer Olympics – women's 4 × 100 metre freestyle relay,silver,Nian Yun,Q9015595,People's Republic of China,China at the 1996 Summer Olympics,female
swimming at the 1996 Summer Olympics – women's 4 × 100 metre freestyle relay,silver,Shan Ying,Q7487847,People's Republic of China,China at the 1996 Summer Olympics,female
swimming at the 1996 Summer Olympics – women's 4 × 200 metre freestyle relay,gold,Lisa Jacob,Q5547596,United States of America,United States at the 1996 Summer Olympics,female
swimming at the 1996 Summer Olympics – men's 4 × 100 metre medley relay,gold,Kurt Grote,Q346850,United States of America,United States at the 1996 Summer Olympics,male
swimming at the 1996 Summer Olympics – women's 4 × 100 metre medley relay,bronze,Shan Ying,Q7487847,People's Republic of China,China at the 1996 Summer Olympics,female
archery at the 1996 Summer Olympics – men's individual,bronze,Oh Kyo-Moon,Q3349868,South Korea,South Korea at the 1996 Summer Olympics,male
archery at the 1996 Summer Olympics – men's team,silver,Kim Bo-ram,Q3196687,South Korea,South Korea at the 1996 Summer Olympics,male
archery at the 1996 Summer Olympics – men's team,silver,Oh Kyo-Moon,Q3349868,South Korea,South Korea at the 1996 Summer Olympics,male
archery at the 1996 Summer Olympics – women's team,gold,Kim Jo-Sun,Q963895,South Korea,South Korea at the 1996 Summer Olympics,female
athletics at the 1996 Summer Olympics – men's 1500 metres,bronze,Stephen Kipkorir,Q1336406,Kenya,Kenya at the 1996 Summer Olympics,male
athletics at the 1996 Summer Olympics – men's 4 × 100 metres relay,gold,Carlton Chambers,Q966027,Canada,Canada at the 1996 Summer Olympics,male
athletics at the 1996 Summer Olympics – women's 4 × 100 metres relay,silver,Eldece Clarke-Lewis,Q462073,The Bahamas,Bahamas at the 1996 Summer Olympics,female
athletics at the 1996 Summer Olympics – women's long jump,gold,Chioma Ajunwa,Q239638,Nigeria,Nigeria at the 1996 Summer Olympics,female
athletics at the 1996 Summer Olympics – women's shot put,bronze,Irina Khudoroshkina,Q442039,Russia,Russia at the 1996 Summer Olympics,female
boxing at the 1996 Summer Olympics – light heavyweight,silver,Lee Seung-Bae,Q562883,South Korea,South Korea at the 1996 Summer Olympics,male
canoeing at the 1996 Summer Olympics – men's K-4 1000 metres,bronze,Georgiy Tsybulnikov,Q5548474,Russia,Russia at the 1996 Summer Olympics,male
canoeing at the 1996 Summer Olympics – women's K-4 500 metres,silver,Gabi Müller,Q3616425,Switzerland,Switzerland at the 1996 Summer Olympics,female
canoeing at the 1996 Summer Olympics – women's K-4 500 metres,silver,Ingrid Haralamow,Q3616237,Switzerland,Switzerland at the 1996 Summer Olympics,female
equestrian at the 1996 Summer Olympics – team dressage,bronze,Michelle Gibson,Q6837042,United States of America,United States at the 1996 Summer Olympics,female
equestrian at the 1996 Summer Olympics – individual eventing,bronze,Kerry Millikin,Q15731806,United States of America,United States at the 1996 Summer Olympics,female
equestrian at the 1996 Summer Olympics – team eventing,silver,Jill Henneberg,Q6192867,United States of America,United States at the 1996 Summer Olympics,female
equestrian at the 1996 Summer Olympics – team jumping,silver,Peter Leone,Q7175431,United States of America,United States at the 1996 Summer Olympics,male
field hockey at the 1996 Summer Olympics – men's tournament,bronze,Michael York,Q6835490,Australia,Australia at the 1996 Summer Olympics,male
field hockey at the 1996 Summer Olympics – women's tournament,gold,Louise Dobson,Q6688717,Australia,Australia at the 1996 Summer Olympics,female
field hockey at the 1996 Summer Olympics – women's tournament,silver,You Jae-sook,Q8057301,South Korea,South Korea at the 1996 Summer Olympics,female
field hockey at the 1996 Summer Olympics – women's tournament,silver,Lim Jeong-sook,Q6548704,South Korea,South Korea at the 1996 Summer Olympics,female
field hockey at the 1996 Summer Olympics – women's tournament,silver,Oh Seung-shin,Q7080536,South Korea,South Korea at the 1996 Summer Olympics,female
field hockey at the 1996 Summer Olympics – women's tournament,silver,Woo Hyun-jung,Q14959357,South Korea,South Korea at the 1996 Summer Olympics,female
field hockey at the 1996 Summer Olympics – women's tournament,silver,Lee Eun-young,Q12630793,South Korea,South Korea at the 1996 Summer Olympics,female
field hockey at the 1996 Summer Olympics – women's tournament,silver,Lee Eun-kyung,Q14959107,South Korea,South Korea at the 1996 Summer Olympics,female
field hockey at the 1996 Summer Olympics – women's tournament,silver,Lee Ji-young,Q6514153,South Korea,South Korea at the 1996 Summer Olympics,female
field hockey at the 1996 Summer Olympics – women's tournament,silver,Kim Myung-ok,Q6409205,South Korea,South Korea at the 1996 Summer Olympics,female
field hockey at the 1996 Summer Olympics – women's tournament,silver,Kwon Chang-sook,Q6450509,South Korea,South Korea at the 1996 Summer Olympics,female
field hockey at the 1996 Summer Olympics – women's tournament,silver,Kwon Soo-hyun,Q6450530,South Korea,South Korea at the 1996 Summer Olympics,female
field hockey at the 1996 Summer Olympics – women's tournament,silver,Choi Mi-soon,Q5103934,South Korea,South Korea at the 1996 Summer Olympics,female
field hockey at the 1996 Summer Olympics – women's tournament,silver,Jeon Young-sun,Q6180200,South Korea,South Korea at the 1996 Summer Olympics,female
field hockey at the 1996 Summer Olympics – women's tournament,silver,Jin Deok-san,Q6201816,South Korea,South Korea at the 1996 Summer Olympics,female
field hockey at the 1996 Summer Olympics – women's tournament,silver,Chang Eun-jung,Q5071608,South Korea,South Korea at the 1996 Summer Olympics,female
field hockey at the 1996 Summer Olympics – women's tournament,silver,Cho Eun-jung,Q5103340,South Korea,South Korea at the 1996 Summer Olympics,female
field hockey at the 1996 Summer Olympics – women's tournament,silver,Choi Eun-kyung,Q5103880,South Korea,South Korea at the 1996 Summer Olympics,female
football at the 1996 Summer Olympics – women's tournament,silver,Liu Ying,Q4963213,People's Republic of China,China at the 1996 Summer Olympics,female
football at the 1996 Summer Olympics – women's tournament,silver,Shui Qingxia,Q4978427,People's Republic of China,China at the 1996 Summer Olympics,female
football at the 1996 Summer Olympics – women's tournament,silver,Wen Lirong,Q3950831,People's Republic of China,China at the 1996 Summer Olympics,female
football at the 1996 Summer Olympics – women's tournament,bronze,Reidun Seth,Q1792647,Norway,Norway at the 1996 Summer Olympics,female
