medalist_wikidata_id,medalist_link,medalist_name,medal,delegation_wikidata_id,delegation_link,delegation_name,country_medal_wikidata_id,country_medal,country_medal_code2,country_medal_code3,country_medal_ioc_country_code,country_medal_NUTS_code,date_of_birth,place_of_birth_wikidata_id,place_of_birth,place_of_birth_located_in_wikidata_id,place_of_birth_located_in,place_of_birth_coordinates,lat,lon,sex_or_gender_wikidata_id,sex_or_gender,event_wikidata_id,event_link,event_name,event_part_of_wikidata_id,event_part_of,event_sport_wikidata_id,event_sport,event_part_of_sport_wikidata_id,event_part_of_sport,sport_wikidata_id,sport,nuts1_id,nuts1_name,nuts2_id,nuts2_name,nuts3_id,nuts3_name,nuts2_population,nuts3_population,nuts2_gdp,nuts3_gdp,nuts0_id,nuts0_name
Q1369789,https://en.wikipedia.org/wiki/Jay_Barrs,Jay Barrs,gold,Q2391549,https://en.wikipedia.org/wiki/United_States_at_the_1988_Summer_Olympics,United States at the 1988 Summer Olympics,Q30,United States of America,US,USA,USA,NA,1962-07-17,Q16568,Jacksonville,Q493605,Duval County,"30.316666666667,-81.65",30.316666666667,-81.65,Q6581097,male,Q4786035,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Men%27s_individual,archery at the 1988 Summer Olympics – men's individual,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q562453,https://en.wikipedia.org/wiki/Park_Sung-soo,Park Sung-Soo,silver,Q491756,https://en.wikipedia.org/wiki/South_Korea_at_the_1988_Summer_Olympics,South Korea at the 1988 Summer Olympics,Q884,South Korea,KR,KOR,KOR,NA,1970-05-19,NA,NA,NA,NA,NA,NA,NA,Q6581097,male,Q4786035,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Men%27s_individual,archery at the 1988 Summer Olympics – men's individual,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q934950,https://en.wikipedia.org/wiki/Vladimir_Yesheyev,Vladimir Yesheyev,bronze,Q2664273,https://en.wikipedia.org/wiki/Soviet_Union_at_the_1988_Summer_Olympics,Soviet Union at the 1988 Summer Olympics,Q15180,Soviet Union,NA,SUN,URS,NA,1958-05-07,Q28483577,NA,Q21193461,NA,"50.36278,115.55389",50.36278,115.55389,Q6581097,male,Q4786035,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Men%27s_individual,archery at the 1988 Summer Olympics – men's individual,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q562466,https://en.wikipedia.org/wiki/Chun_In-Soo,Chun In-soo,gold,Q491756,https://en.wikipedia.org/wiki/South_Korea_at_the_1988_Summer_Olympics,South Korea at the 1988 Summer Olympics,Q884,South Korea,KR,KOR,KOR,NA,1965-07-13,Q20934,Incheon,Q884,South Korea,"37.463888888889,126.64861111111",37.463888888889,126.64861111111,Q6581097,male,Q4786036,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 1988 Summer Olympics – men's team,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q562468,https://en.wikipedia.org/wiki/Lee_Han-Sup,Lee Han-Sup,gold,Q491756,https://en.wikipedia.org/wiki/South_Korea_at_the_1988_Summer_Olympics,South Korea at the 1988 Summer Olympics,Q884,South Korea,KR,KOR,KOR,NA,1966-04-30,Q16520,Busan,Q884,South Korea,"35.18,129.075",35.18,129.075,Q6581097,male,Q4786036,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 1988 Summer Olympics – men's team,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q562453,https://en.wikipedia.org/wiki/Park_Sung-soo,Park Sung-Soo,gold,Q491756,https://en.wikipedia.org/wiki/South_Korea_at_the_1988_Summer_Olympics,South Korea at the 1988 Summer Olympics,Q884,South Korea,KR,KOR,KOR,NA,1970-05-19,NA,NA,NA,NA,NA,NA,NA,Q6581097,male,Q4786036,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 1988 Summer Olympics – men's team,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q1369789,https://en.wikipedia.org/wiki/Jay_Barrs,Jay Barrs,silver,Q2391549,https://en.wikipedia.org/wiki/United_States_at_the_1988_Summer_Olympics,United States at the 1988 Summer Olympics,Q30,United States of America,US,USA,USA,NA,1962-07-17,Q16568,Jacksonville,Q493605,Duval County,"30.316666666667,-81.65",30.316666666667,-81.65,Q6581097,male,Q4786036,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 1988 Summer Olympics – men's team,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q2092322,https://en.wikipedia.org/wiki/Richard_McKinney_(archer),Richard McKinney,silver,Q2391549,https://en.wikipedia.org/wiki/United_States_at_the_1988_Summer_Olympics,United States at the 1988 Summer Olympics,Q30,United States of America,US,USA,USA,NA,1953-10-12,Q2348734,Decatur,Q351808,Adams County,"40.8294,-84.9292",40.8294,-84.9292,Q6581097,male,Q4786036,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 1988 Summer Olympics – men's team,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q1166597,https://en.wikipedia.org/wiki/Darrell_Pace,Darrell Pace,silver,Q2391549,https://en.wikipedia.org/wiki/United_States_at_the_1988_Summer_Olympics,United States at the 1988 Summer Olympics,Q30,United States of America,US,USA,USA,NA,1956-10-23,Q43196,Cincinnati,Q152891,Hamilton County,"39.1,-84.5125",39.1,-84.5125,Q6581097,male,Q4786036,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 1988 Summer Olympics – men's team,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q433501,https://en.wikipedia.org/wiki/Steven_Hallard,Steven Hallard,bronze,Q150729,https://en.wikipedia.org/wiki/Great_Britain_at_the_1988_Summer_Olympics,Great Britain at the 1988 Summer Olympics,Q145,United Kingdom,GB,GBR,GBR,UK,1965-02-22,Q623765,Rugby,Q894091,Rugby,"52.37,-1.26",52.37,-1.26,Q6581097,male,Q4786036,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 1988 Summer Olympics – men's team,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,UKG,West Midlands (England),UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG13,Warwickshire,1352539,568167,NA,NA,UK,United Kingdom
Q264263,https://en.wikipedia.org/wiki/Richard_Priestman,Richard Priestman,bronze,Q150729,https://en.wikipedia.org/wiki/Great_Britain_at_the_1988_Summer_Olympics,Great Britain at the 1988 Summer Olympics,Q145,United Kingdom,GB,GBR,GBR,UK,1955-07-16,Q24826,Liverpool,Q21665571,Liverpool,"53.4075,-2.99194444444444",53.4075,-2.99194444444444,Q6581097,male,Q4786036,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 1988 Summer Olympics – men's team,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q545918,https://en.wikipedia.org/wiki/Leroy_Watson_(archer),Leroy Watson,bronze,Q150729,https://en.wikipedia.org/wiki/Great_Britain_at_the_1988_Summer_Olympics,Great Britain at the 1988 Summer Olympics,Q145,United Kingdom,GB,GBR,GBR,UK,1965-07-06,Q267054,Broseley,Q21694759,Shropshire,"52.612355555556,-2.4819444444444",52.612355555556,-2.4819444444444,Q6581097,male,Q4786036,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 1988 Summer Olympics – men's team,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,UKG,West Midlands (England),UKG2,Shropshire and Staffordshire,UKG22,Shropshire CC,1626956,319189,NA,NA,UK,United Kingdom
Q239901,https://en.wikipedia.org/wiki/Kim_Soo-nyung,Kim Soo-nyung,gold,Q491756,https://en.wikipedia.org/wiki/South_Korea_at_the_1988_Summer_Olympics,South Korea at the 1988 Summer Olympics,Q884,South Korea,KR,KOR,KOR,NA,1971-04-05,Q41066,North Chungcheong,Q884,South Korea,"36.82153,127.65685",36.82153,127.65685,Q6581072,female,Q4786037,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Women%27s_individual,archery at the 1988 Summer Olympics – women's individual,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q3135701,https://en.wikipedia.org/wiki/Wang_Hee-kyung,Wang Hee-Kyung,silver,Q491756,https://en.wikipedia.org/wiki/South_Korea_at_the_1988_Summer_Olympics,South Korea at the 1988 Summer Olympics,Q884,South Korea,KR,KOR,KOR,NA,1970-07-16,NA,NA,NA,NA,NA,NA,NA,Q6581072,female,Q4786037,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Women%27s_individual,archery at the 1988 Summer Olympics – women's individual,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q736092,https://en.wikipedia.org/wiki/Yun_Young-sook,Yun Young-Sook,bronze,Q491756,https://en.wikipedia.org/wiki/South_Korea_at_the_1988_Summer_Olympics,South Korea at the 1988 Summer Olympics,Q884,South Korea,KR,KOR,KOR,NA,1971-09-10,NA,NA,NA,NA,NA,NA,NA,Q6581072,female,Q4786037,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Women%27s_individual,archery at the 1988 Summer Olympics – women's individual,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q239901,https://en.wikipedia.org/wiki/Kim_Soo-nyung,Kim Soo-nyung,gold,Q491756,https://en.wikipedia.org/wiki/South_Korea_at_the_1988_Summer_Olympics,South Korea at the 1988 Summer Olympics,Q884,South Korea,KR,KOR,KOR,NA,1971-04-05,Q41066,North Chungcheong,Q884,South Korea,"36.82153,127.65685",36.82153,127.65685,Q6581072,female,Q4786038,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Women%27s_team,archery at the 1988 Summer Olympics – women's team,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q3135701,https://en.wikipedia.org/wiki/Wang_Hee-kyung,Wang Hee-Kyung,gold,Q491756,https://en.wikipedia.org/wiki/South_Korea_at_the_1988_Summer_Olympics,South Korea at the 1988 Summer Olympics,Q884,South Korea,KR,KOR,KOR,NA,1970-07-16,NA,NA,NA,NA,NA,NA,NA,Q6581072,female,Q4786038,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Women%27s_team,archery at the 1988 Summer Olympics – women's team,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q736092,https://en.wikipedia.org/wiki/Yun_Young-sook,Yun Young-Sook,gold,Q491756,https://en.wikipedia.org/wiki/South_Korea_at_the_1988_Summer_Olympics,South Korea at the 1988 Summer Olympics,Q884,South Korea,KR,KOR,KOR,NA,1971-09-10,NA,NA,NA,NA,NA,NA,NA,Q6581072,female,Q4786038,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Women%27s_team,archery at the 1988 Summer Olympics – women's team,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q3085419,https://en.wikipedia.org/wiki/Lilies_Handayani,Lilies Handayani,silver,Q2665811,https://en.wikipedia.org/wiki/Indonesia_at_the_1988_Summer_Olympics,Indonesia at the 1988 Summer Olympics,Q252,Indonesia,ID,IDN,INA,NA,1965-04-15,Q11462,Surabaya,Q3586,East Java,"-7.2458333333333,112.73777777778",-7.2458333333333,112.73777777778,Q6581072,female,Q4786038,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Women%27s_team,archery at the 1988 Summer Olympics – women's team,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q3040291,https://en.wikipedia.org/wiki/Nurfitriyana_Saiman,Nurfitriyana Saiman,silver,Q2665811,https://en.wikipedia.org/wiki/Indonesia_at_the_1988_Summer_Olympics,Indonesia at the 1988 Summer Olympics,Q252,Indonesia,ID,IDN,INA,NA,1962-03-07,Q3630,Jakarta,Q252,Indonesia,"-6.175,106.8275",-6.175,106.8275,Q6581072,female,Q4786038,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Women%27s_team,archery at the 1988 Summer Olympics – women's team,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q3085192,https://en.wikipedia.org/wiki/Kusuma_Wardhani,Kusuma Wardhani,silver,Q2665811,https://en.wikipedia.org/wiki/Indonesia_at_the_1988_Summer_Olympics,Indonesia at the 1988 Summer Olympics,Q252,Indonesia,ID,IDN,INA,NA,1964-02-20,Q14634,Makassar,Q5078,South Sulawesi,"-5.13305555555556,119.413611111111",-5.13305555555556,119.413611111111,Q6581072,female,Q4786038,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Women%27s_team,archery at the 1988 Summer Olympics – women's team,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q2160314,https://en.wikipedia.org/wiki/Deborah_Ochs,Deborah Ochs,bronze,Q2391549,https://en.wikipedia.org/wiki/United_States_at_the_1988_Summer_Olympics,United States at the 1988 Summer Olympics,Q30,United States of America,US,USA,USA,NA,1966-01-30,Q1631984,Howell,Q502732,Livingston County,"42.607222222222,-83.929444444444",42.607222222222,-83.929444444444,Q6581072,female,Q4786038,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Women%27s_team,archery at the 1988 Summer Olympics – women's team,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q2152054,https://en.wikipedia.org/wiki/Denise_Parker,Denise Parker,bronze,Q2391549,https://en.wikipedia.org/wiki/United_States_at_the_1988_Summer_Olympics,United States at the 1988 Summer Olympics,Q30,United States of America,US,USA,USA,NA,1973-12-12,Q23337,Salt Lake City,Q484556,Salt Lake County,"40.75,-111.88333333333",40.75,-111.88333333333,Q6581072,female,Q4786038,https://en.wikipedia.org/wiki/Archery_at_the_1988_Summer_Olympics_%E2%80%93_Women%27s_team,archery at the 1988 Summer Olympics – women's team,Q562020,archery at the 1988 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
