event_name,medal,medalist_name,medalist_wikidata_id,country_medal,delegation_name,sex_or_gender
sailing at the 1988 Summer Olympics – Soling,bronze,Steen Secher,Q3364716,Denmark,Denmark at the 1988 Summer Olympics,male
swimming at the 1988 Summer Olympics – men's 100 metre freestyle,silver,Chris Jacobs,Q2278243,United States of America,United States at the 1988 Summer Olympics,male
swimming at the 1988 Summer Olympics – men's 4 × 100 metre freestyle relay,gold,Chris Jacobs,Q2278243,United States of America,United States at the 1988 Summer Olympics,male
swimming at the 1988 Summer Olympics – men's 4 × 100 metre freestyle relay,gold,Brent Lang,Q4961449,United States of America,United States at the 1988 Summer Olympics,male
swimming at the 1988 Summer Olympics – men's 4 × 100 metre medley relay,gold,Richard Schroeder,Q7328928,United States of America,United States at the 1988 Summer Olympics,male
swimming at the 1988 Summer Olympics – men's 4 × 100 metre medley relay,gold,Chris Jacobs,Q2278243,United States of America,United States at the 1988 Summer Olympics,male
swimming at the 1988 Summer Olympics – men's 4 × 100 metre medley relay,gold,Jay Mortenson,Q10881081,United States of America,United States at the 1988 Summer Olympics,male
swimming at the 1988 Summer Olympics – women's 4 × 100 metre freestyle relay,bronze,Mitzi Kremer,Q3859584,United States of America,United States at the 1988 Summer Olympics,female
swimming at the 1988 Summer Olympics – women's 4 × 100 metre freestyle relay,bronze,Laura Walker,Q3827865,United States of America,United States at the 1988 Summer Olympics,female
swimming at the 1988 Summer Olympics – women's 4 × 100 metre medley relay,silver,Janel Jorgensen,Q3807022,United States of America,United States at the 1988 Summer Olympics,female
table tennis at the 1988 Summer Olympics – men's singles,silver,Kim Ki-taik,Q562510,South Korea,South Korea at the 1988 Summer Olympics,male
table tennis at the 1988 Summer Olympics – men's doubles,bronze,Ahn Jae-Hyung,Q402165,South Korea,South Korea at the 1988 Summer Olympics,male
volleyball at the 1988 Summer Olympics – men's tournament,gold,Jon Root,Q6271485,United States of America,United States at the 1988 Summer Olympics,male
volleyball at the 1988 Summer Olympics – men's tournament,bronze,Claudio Zulianello,Q5129433,Argentina,Argentina at the 1988 Summer Olympics,male
volleyball at the 1988 Summer Olympics – women's tournament,bronze,Wang Yajun,Q7967708,People's Republic of China,China at the 1988 Summer Olympics,female
water polo at the 1988 Summer Olympics,bronze,Aleksandr Kolotov,Q3609518,Soviet Union,Soviet Union at the 1988 Summer Olympics,male
weightlifting at the 1988 Summer Olympics – men's 67.5 kg,bronze,Li Jinhe,Q6538890,People's Republic of China,China at the 1988 Summer Olympics,male
wrestling at the 1988 Summer Olympics – men's freestyle 57 kg,bronze,Noh Kyung-Sun,Q6013383,South Korea,South Korea at the 1988 Summer Olympics,male
wrestling at the 1988 Summer Olympics – men's freestyle 62 kg,silver,Stepan Sarkisyan,Q4408667,Soviet Union,Soviet Union at the 1988 Summer Olympics,male
wrestling at the 1988 Summer Olympics – men's Greco-Roman 52 kg,bronze,Lee Jae-Suk,Q6148117,South Korea,South Korea at the 1988 Summer Olympics,male
wrestling at the 1988 Summer Olympics – men's Greco-Roman 68 kg,silver,Kim Sung-moon,Q5909175,South Korea,South Korea at the 1988 Summer Olympics,male
wrestling at the 1988 Summer Olympics – men's Greco-Roman 82 kg,bronze,Kim Sang-kyu,Q5909387,South Korea,South Korea at the 1988 Summer Olympics,male
