nuts2_id,nuts2_name,country,medals,nuts2_population,medals_per_million_residents
DE80,Mecklenburg-Vorpommern,Germany,26,1628378,15.966808689382932
DED5,Leipzig,Germany,17,1076346,15.794177708655024
DED4,Chemnitz,Germany,21,1411556,14.877199345969979
DE40,Brandenburg,Germany,31,2573135,12.047560660439503
DED2,Dresden,Germany,19,1598250,11.88800250273737
DEE0,Sachsen-Anhalt,Germany,23,2186643,10.51840652543648
HU11,Budapest,Hungary,17,1671004,10.173524420049263
RO42,Vest,Romania,8,1671460,4.786234788747562
CZ01,Praha,Czechia,6,1357326,4.420456102660673
DEG0,Thüringen,Germany,9,2126846,4.231618086123772
DE30,Berlin,Germany,15,3755251,3.9944067653533675
BG42,Yuzhen tsentralen,Bulgaria,5,1301026,3.8431207370183222
RO21,Nord-Est,Romania,12,3224213,3.721838476552262
BG41,Yugozapaden,Bulgaria,7,2016554,3.4712683121800856
DK05,Nordjylland,Denmark,2,594634,3.3634134610533537
CZ07,Střední Morava,Czechia,4,1212333,3.299423508227525
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,Belgium,4,1253178,3.191884951698801
RO32,Bucureşti-Ilfov,Romania,7,2290125,3.056601713880247
HR02,Panonska Hrvatska,Croatia,3,999106,3.0026843998534694
NO08,Oslo og Viken,Norway,6,2001278,2.9980842241807486
LT02,Vidurio ir vakarų Lietuvos regionas ,Lithuania,6,2008555,2.987222157222481
BG31,Severozapaden,Bulgaria,2,671502,2.9783976816152444
RO22,Sud-Est,Romania,7,2353162,2.974720822450813
DE11,Stuttgart,Germany,12,4205849,2.8531694789803437
PL51,Dolnośląskie,Poland,8,2813919,2.8430100511066594
DEB1,Koblenz,Germany,4,1522508,2.627243994777039
AT33,Tirol,Austria,2,771304,2.5930113159013826
PL71,Łódzkie,Poland,6,2343021,2.560796510146516
DE26,Unterfranken,Germany,3,1334376,2.248241874853864
PL63,Pomorskie,Poland,5,2295745,2.1779422366160004
LV00,Latvija,Latvia,4,1883008,2.124260757256475
DK01,Hovedstaden,Denmark,4,1891871,2.114309062298645
CH02,Espace Mittelland,Switzerland,4,1918746,2.0846948996896932
DE94,Weser-Ems,Germany,5,2592162,1.928891789942141
SE23,Västsverige,Sweden,4,2101461,1.9034376559926642
HU21,Közép-Dunántúl,Hungary,2,1059399,1.8878628354378284
