event_name,medal,medalist_name,medalist_wikidata_id,country_medal,delegation_name,sex_or_gender
swimming at the 1976 Summer Olympics – men's 4 × 200 metre freestyle relay,bronze,Alan McClatchey,Q4707267,United Kingdom,Great Britain at the 1976 Summer Olympics,male
swimming at the 1976 Summer Olympics – men's 4 × 200 metre freestyle relay,bronze,David Dunne,Q5233124,United Kingdom,Great Britain at the 1976 Summer Olympics,male
boxing at the 1976 Summer Olympics – light flyweight,silver,Li Byong-Uk,Q445753,North Korea,North Korea at the 1976 Summer Olympics,male
boxing at the 1976 Summer Olympics – flyweight,silver,Ramón Duvalón,Q5626021,Cuba,Cuba at the 1976 Summer Olympics,male
boxing at the 1976 Summer Olympics – bantamweight,gold,Ku Yong-jo,Q3118665,North Korea,North Korea at the 1976 Summer Olympics,male
boxing at the 1976 Summer Olympics – middleweight,bronze,Luis Felipe Martínez,Q328517,Cuba,Cuba at the 1976 Summer Olympics,male
canoeing at the 1976 Summer Olympics – men's K-2 500 metres,bronze,Larion Serghei,Q6489415,Romania,Romania at the 1976 Summer Olympics,male
canoeing at the 1976 Summer Olympics – men's K-4 1000 metres,gold,Aleksandr Degtyarev,Q4156646,Soviet Union,Soviet Union at the 1976 Summer Olympics,male
equestrian at the 1976 Summer Olympics – team dressage,silver,Doris Ramseier,Q5297973,Switzerland,Switzerland at the 1976 Summer Olympics,female
fencing at the 1976 Summer Olympics – men's team épée,bronze,Michel Poffet,Q1642829,Switzerland,Switzerland at the 1976 Summer Olympics,male
judo at the 1976 Summer Olympics – men's 63 kg,silver,Chang Eun-kyung,Q5071609,South Korea,South Korea at the 1976 Summer Olympics,male
judo at the 1976 Summer Olympics – men's open category,bronze,Cho Jea-ki,Q5103355,South Korea,South Korea at the 1976 Summer Olympics,male
rowing at the 1976 Summer Olympics – men's double sculls,silver,Michael Hart,Q6830983,United Kingdom,Great Britain at the 1976 Summer Olympics,male
rowing at the 1976 Summer Olympics – men's eight,silver,Hugh Matheson,Q12093647,United Kingdom,Great Britain at the 1976 Summer Olympics,male
rowing at the 1976 Summer Olympics – men's eight,silver,David Maxwell,Q5237246,United Kingdom,Great Britain at the 1976 Summer Olympics,male
rowing at the 1976 Summer Olympics – men's eight,silver,James Clark,Q6131375,United Kingdom,Great Britain at the 1976 Summer Olympics,male
rowing at the 1976 Summer Olympics – men's eight,silver,Leonard Robertson,Q6525673,United Kingdom,Great Britain at the 1976 Summer Olympics,male
rowing at the 1976 Summer Olympics – men's eight,silver,Patrick Sweeney,Q7147701,United Kingdom,Great Britain at the 1976 Summer Olympics,male
rowing at the 1976 Summer Olympics,silver,Ginka Gyurova,Q5563140,Bulgaria,Bulgaria at the 1976 Summer Olympics,female
rowing at the 1976 Summer Olympics,silver,Lilyana Vaseva,Q6548606,Bulgaria,Bulgaria at the 1976 Summer Olympics,female
rowing at the 1976 Summer Olympics,silver,Reni Yordanova,Q7313220,Bulgaria,Bulgaria at the 1976 Summer Olympics,female
rowing at the 1976 Summer Olympics,silver,Mariyka Modeva,Q3656187,Bulgaria,Bulgaria at the 1976 Summer Olympics,female
rowing at the 1976 Summer Olympics,silver,Kapka Georgieva,Q12282561,Bulgaria,Bulgaria at the 1976 Summer Olympics,female
sailing at the 1976 Summer Olympics – 470,bronze,Ian Brown,Q5981027,Australia,Australia at the 1976 Summer Olympics,male
sailing at the 1976 Summer Olympics – 470,bronze,Ian Ruff,Q5982795,Australia,Australia at the 1976 Summer Olympics,male
sailing at the 1976 Summer Olympics – Flying Dutchman,silver,Julian Brooke-Houghton,Q6307012,United Kingdom,Great Britain at the 1976 Summer Olympics,male
sailing at the 1976 Summer Olympics – Tornado,gold,John Osborn,Q12100804,United Kingdom,Great Britain at the 1976 Summer Olympics,male
volleyball at the 1976 Summer Olympics – men's tournament,bronze,Víctor García,Q7944624,Cuba,Cuba at the 1976 Summer Olympics,male
volleyball at the 1976 Summer Olympics – men's tournament,bronze,Leonel Marshall Sr.,Q6526234,Cuba,Cuba at the 1976 Summer Olympics,male
volleyball at the 1976 Summer Olympics – men's tournament,bronze,Lorenzo Martínez,Q6680763,Cuba,Cuba at the 1976 Summer Olympics,male
volleyball at the 1976 Summer Olympics – men's tournament,bronze,Jorge Pérez Vento,Q6278516,Cuba,Cuba at the 1976 Summer Olympics,male
volleyball at the 1976 Summer Olympics – men's tournament,bronze,Antonio Rodríguez,Q4776927,Cuba,Cuba at the 1976 Summer Olympics,male
volleyball at the 1976 Summer Olympics – men's tournament,bronze,Victoriano Sarmientos,Q7927401,Cuba,Cuba at the 1976 Summer Olympics,male
volleyball at the 1976 Summer Olympics – women's tournament,bronze,Byon Kyung-ja,Q5004181,South Korea,South Korea at the 1976 Summer Olympics,female
volleyball at the 1976 Summer Olympics – women's tournament,bronze,Chang Hee-Sook,Q5071619,South Korea,South Korea at the 1976 Summer Olympics,female
volleyball at the 1976 Summer Olympics – women's tournament,bronze,Jung Soon-ok,Q6312662,South Korea,South Korea at the 1976 Summer Olympics,female
volleyball at the 1976 Summer Olympics – women's tournament,bronze,Lee Soon-ok,Q6515126,South Korea,South Korea at the 1976 Summer Olympics,female
volleyball at the 1976 Summer Olympics – women's tournament,bronze,Park Mi-kum,Q7137894,South Korea,South Korea at the 1976 Summer Olympics,female
volleyball at the 1976 Summer Olympics – women's tournament,bronze,Yoon Young-nae,Q8055227,South Korea,South Korea at the 1976 Summer Olympics,female
volleyball at the 1976 Summer Olympics – women's tournament,bronze,Yu Jung-hye,Q8059933,South Korea,South Korea at the 1976 Summer Olympics,female
volleyball at the 1976 Summer Olympics – women's tournament,bronze,Yu Kyung-hwa,Q8059938,South Korea,South Korea at the 1976 Summer Olympics,female
wrestling at the 1976 Summer Olympics – men's freestyle 52 kg,bronze,Jeon Hae-Sup,Q5882398,South Korea,South Korea at the 1976 Summer Olympics,male
