event_name,medal,medalist_name,medalist_wikidata_id,country_medal,delegation_name,sex_or_gender
swimming at the 1976 Summer Olympics – men's 4 × 200 metre freestyle relay,bronze,Alan McClatchey,Q4707267,United Kingdom,Great Britain at the 1976 Summer Olympics,male
swimming at the 1976 Summer Olympics – men's 4 × 200 metre freestyle relay,bronze,David Dunne,Q5233124,United Kingdom,Great Britain at the 1976 Summer Olympics,male
canoeing at the 1976 Summer Olympics – men's K-2 500 metres,bronze,Larion Serghei,Q6489415,Romania,Romania at the 1976 Summer Olympics,male
rowing at the 1976 Summer Olympics – men's double sculls,silver,Michael Hart,Q6830983,United Kingdom,Great Britain at the 1976 Summer Olympics,male
rowing at the 1976 Summer Olympics – men's eight,silver,Hugh Matheson,Q12093647,United Kingdom,Great Britain at the 1976 Summer Olympics,male
rowing at the 1976 Summer Olympics – men's eight,silver,David Maxwell,Q5237246,United Kingdom,Great Britain at the 1976 Summer Olympics,male
rowing at the 1976 Summer Olympics – men's eight,silver,James Clark,Q6131375,United Kingdom,Great Britain at the 1976 Summer Olympics,male
rowing at the 1976 Summer Olympics – men's eight,silver,Leonard Robertson,Q6525673,United Kingdom,Great Britain at the 1976 Summer Olympics,male
rowing at the 1976 Summer Olympics – men's eight,silver,Patrick Sweeney,Q7147701,United Kingdom,Great Britain at the 1976 Summer Olympics,male
rowing at the 1976 Summer Olympics,silver,Ginka Gyurova,Q5563140,Bulgaria,Bulgaria at the 1976 Summer Olympics,female
rowing at the 1976 Summer Olympics,silver,Lilyana Vaseva,Q6548606,Bulgaria,Bulgaria at the 1976 Summer Olympics,female
rowing at the 1976 Summer Olympics,silver,Reni Yordanova,Q7313220,Bulgaria,Bulgaria at the 1976 Summer Olympics,female
rowing at the 1976 Summer Olympics,silver,Mariyka Modeva,Q3656187,Bulgaria,Bulgaria at the 1976 Summer Olympics,female
rowing at the 1976 Summer Olympics,silver,Kapka Georgieva,Q12282561,Bulgaria,Bulgaria at the 1976 Summer Olympics,female
sailing at the 1976 Summer Olympics – Flying Dutchman,silver,Julian Brooke-Houghton,Q6307012,United Kingdom,Great Britain at the 1976 Summer Olympics,male
sailing at the 1976 Summer Olympics – Tornado,gold,John Osborn,Q12100804,United Kingdom,Great Britain at the 1976 Summer Olympics,male
