event_name,medal,medalist_name,medalist_wikidata_id,country_medal,delegation_name,sex_or_gender
swimming at the 1992 Summer Olympics – women's 4 × 100 metre freestyle relay,silver,Lü Bin,Q6711475,People's Republic of China,China at the 1992 Summer Olympics,female
swimming at the 1992 Summer Olympics – women's 4 × 100 metre freestyle relay,silver,Zhao Kun,Q8070538,People's Republic of China,China at the 1992 Summer Olympics,female
swimming at the 1992 Summer Olympics – women's 4 × 100 metre medley relay,bronze,Yelena Shubina,Q8051499,NA,Unified (ex-Soviet) Team at the 1992 Summer Olympics,female
archery at the 1992 Summer Olympics – men's individual,silver,Chung Jae-Hun,Q211537,South Korea,South Korea at the 1992 Summer Olympics,male
archery at the 1992 Summer Olympics – women's team,gold,Lee Eun-Kyung,Q1923281,South Korea,South Korea at the 1992 Summer Olympics,female
archery at the 1992 Summer Olympics – women's team,silver,Wang Hong,Q4954712,People's Republic of China,China at the 1992 Summer Olympics,female
archery at the 1992 Summer Olympics – women's team,silver,Wang Xiaozhu,Q4990792,People's Republic of China,China at the 1992 Summer Olympics,female
athletics at the 1992 Summer Olympics – men's 4 × 100 metres relay,silver,Oluyemi Kayode,Q943288,Nigeria,Nigeria at the 1992 Summer Olympics,male
athletics at the 1992 Summer Olympics – men's 4 × 100 metres relay,silver,Chidi Imoh,Q944797,Nigeria,Nigeria at the 1992 Summer Olympics,male
athletics at the 1992 Summer Olympics – men's 4 × 100 metres relay,silver,Davidson Ezinwa,Q1177706,Nigeria,Nigeria at the 1992 Summer Olympics,male
athletics at the 1992 Summer Olympics – men's 4 × 100 metres relay,silver,Osmond Ezinwa,Q1392721,Nigeria,Nigeria at the 1992 Summer Olympics,male
athletics at the 1992 Summer Olympics – women's 4 × 100 metres relay,bronze,Beatrice Utondu,Q457035,Nigeria,Nigeria at the 1992 Summer Olympics,female
athletics at the 1992 Summer Olympics – women's 4 × 100 metres relay,bronze,Faith Idehen,Q455125,Nigeria,Nigeria at the 1992 Summer Olympics,female
athletics at the 1992 Summer Olympics – women's 4 × 100 metres relay,bronze,Christy Opara-Thompson,Q432848,Nigeria,Nigeria at the 1992 Summer Olympics,female
athletics at the 1992 Summer Olympics – men's triple jump,bronze,Frank Rutherford,Q766784,The Bahamas,Bahamas at the 1992 Summer Olympics,male
badminton at the 1992 Summer Olympics – women's doubles,bronze,Shim Eun-jung,Q458415,South Korea,South Korea at the 1992 Summer Olympics,female
boxing at the 1992 Summer Olympics,silver,Raúl González,Q5764263,Cuba,Cuba at the 1992 Summer Olympics,male
boxing at the 1992 Summer Olympics,bronze,Lee Seung-Bae,Q562883,South Korea,South Korea at the 1992 Summer Olympics,male
canoeing at the 1992 Summer Olympics – men's K-4 1000 metres,bronze,Kelvin Graham,Q3194954,Australia,Australia at the 1992 Summer Olympics,male
fencing at the 1992 Summer Olympics – men's team épée,bronze,Sergey Kostarev,Q3955939,NA,Unified (ex-Soviet) Team at the 1992 Summer Olympics,male
fencing at the 1992 Summer Olympics – men's team foil,silver,Guillermo Betancourt,Q44341,Cuba,Cuba at the 1992 Summer Olympics,male
fencing at the 1992 Summer Olympics – men's team foil,silver,Tulio Díaz,Q44166,Cuba,Cuba at the 1992 Summer Olympics,male
gymnastics at the 1992 Summer Olympics – men's artistic team all-around,bronze,Yoshiaki Hatakeda,Q1027010,Japan,Japan at the 1992 Summer Olympics,male
gymnastics at the 1992 Summer Olympics – men's vault,bronze,Yoo Ok-ryul,Q1027411,South Korea,South Korea at the 1992 Summer Olympics,male
handball at the 1992 Summer Olympics – women's tournament,gold,Cha Jae-kyung,Q5065944,South Korea,South Korea at the 1992 Summer Olympics,female
handball at the 1992 Summer Olympics – women's tournament,gold,Han Hyun-sook,Q5646604,South Korea,South Korea at the 1992 Summer Olympics,female
handball at the 1992 Summer Olympics – women's tournament,gold,Han Sun-hee,Q2580637,South Korea,South Korea at the 1992 Summer Olympics,female
handball at the 1992 Summer Olympics – women's tournament,gold,Jang Ri-ra,Q11978183,South Korea,South Korea at the 1992 Summer Olympics,female
handball at the 1992 Summer Olympics – women's tournament,gold,Kim Hwa-Sook,Q4958766,South Korea,South Korea at the 1992 Summer Olympics,female
handball at the 1992 Summer Olympics – women's tournament,gold,Lee Ho-youn,Q4961486,South Korea,South Korea at the 1992 Summer Olympics,female
handball at the 1992 Summer Olympics – women's tournament,gold,Lee Mi-young,Q2680103,South Korea,South Korea at the 1992 Summer Olympics,female
handball at the 1992 Summer Olympics – women's tournament,gold,Min Hye-sook,Q6862536,South Korea,South Korea at the 1992 Summer Olympics,female
handball at the 1992 Summer Olympics – women's tournament,gold,Moon Hyang-ja,Q2580647,South Korea,South Korea at the 1992 Summer Olympics,female
handball at the 1992 Summer Olympics – women's tournament,gold,Nam Eun-Young,Q4968910,South Korea,South Korea at the 1992 Summer Olympics,female
handball at the 1992 Summer Olympics – women's tournament,gold,Park Jeong-Lim,Q4971896,South Korea,South Korea at the 1992 Summer Olympics,female
handball at the 1992 Summer Olympics – women's tournament,gold,Park Kap-sook,Q7137858,South Korea,South Korea at the 1992 Summer Olympics,female
handball at the 1992 Summer Olympics – women's tournament,bronze,Natalya Anisimova,Q2680016,NA,Unified (ex-Soviet) Team at the 1992 Summer Olympics,female
judo at the 1992 Summer Olympics – women's 61 kg,bronze,Zhang Di,Q6120163,People's Republic of China,China at the 1992 Summer Olympics,female
rowing at the 1992 Summer Olympics – women's coxless four,gold,Jennifer Barnes,Q6178103,Canada,Canada at the 1992 Summer Olympics,female
rowing at the 1992 Summer Olympics – women's eight,gold,Jennifer Barnes,Q6178103,Canada,Canada at the 1992 Summer Olympics,female
sailing at the 1992 Summer Olympics – Soling,gold,Steen Secher,Q3364716,Denmark,Denmark at the 1992 Summer Olympics,male
shooting at the 1992 Summer Olympics – men's 50 metre rifle prone,gold,Lee Eun-Chul,Q483694,South Korea,South Korea at the 1992 Summer Olympics,male
table tennis at the 1992 Summer Olympics – men's doubles,bronze,Kang Hee-Chan,Q562497,South Korea,South Korea at the 1992 Summer Olympics,male
table tennis at the 1992 Summer Olympics – women's doubles,silver,Chen Zihe,Q441504,People's Republic of China,China at the 1992 Summer Olympics,female
wrestling at the 1992 Summer Olympics – men's freestyle 52 kg,gold,Li Hak-son,Q557217,North Korea,North Korea at the 1992 Summer Olympics,male
wrestling at the 1992 Summer Olympics – men's freestyle 57 kg,bronze,Kim Yong-Sik,Q5909439,North Korea,North Korea at the 1992 Summer Olympics,male
wrestling at the 1992 Summer Olympics – men's freestyle 62 kg,bronze,Lázaro Reinoso,Q6067335,Cuba,Cuba at the 1992 Summer Olympics,male
wrestling at the 1992 Summer Olympics – men's Greco-Roman 52 kg,bronze,Min Kyung-Gab,Q6154320,South Korea,South Korea at the 1992 Summer Olympics,male
