medalist_wikidata_id,medalist_link,medalist_name,medal,delegation_wikidata_id,delegation_link,delegation_name,country_medal_wikidata_id,country_medal,country_medal_code2,country_medal_code3,country_medal_ioc_country_code,country_medal_NUTS_code,date_of_birth,place_of_birth_wikidata_id,place_of_birth,place_of_birth_located_in_wikidata_id,place_of_birth_located_in,place_of_birth_coordinates,lat,lon,sex_or_gender_wikidata_id,sex_or_gender,event_wikidata_id,event_link,event_name,event_part_of_wikidata_id,event_part_of,event_sport_wikidata_id,event_sport,event_part_of_sport_wikidata_id,event_part_of_sport,sport_wikidata_id,sport,nuts1_id,nuts1_name,nuts2_id,nuts2_name,nuts3_id,nuts3_name,nuts2_population,nuts3_population,nuts2_gdp,nuts3_gdp,nuts0_id,nuts0_name
Q252147,https://en.wikipedia.org/wiki/Mark_Lenzi,Mark Lenzi,gold,Q2449888,https://en.wikipedia.org/wiki/United_States_at_the_1992_Summer_Olympics,United States at the 1992 Summer Olympics,Q30,United States of America,US,USA,USA,NA,1968-07-04,Q79860,Huntsville,Q493715,Madison County,"34.713611111111,-86.586111111111",34.713611111111,-86.586111111111,Q6581097,male,Q4000247,https://en.wikipedia.org/wiki/Diving_at_the_1992_Summer_Olympics_%E2%80%93_Men%27s_3_metre_springboard,diving at the 1992 Summer Olympics – men's 3 metre springboard,Q900199,diving at the 1992 Summer Olympics,Q7735,diving,Q7735,diving,Q7735,diving,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q943056,https://en.wikipedia.org/wiki/Tan_Liangde,Tan Liangde,silver,Q1190353,https://en.wikipedia.org/wiki/China_at_the_1992_Summer_Olympics,China at the 1992 Summer Olympics,Q148,People's Republic of China,CN,CHN,CHN,NA,1965-07-14,Q38927,Maoming,Q15175,Guangdong,"21.66182,110.91783",21.66182,110.91783,Q6581097,male,Q4000247,https://en.wikipedia.org/wiki/Diving_at_the_1992_Summer_Olympics_%E2%80%93_Men%27s_3_metre_springboard,diving at the 1992 Summer Olympics – men's 3 metre springboard,Q900199,diving at the 1992 Summer Olympics,Q7735,diving,Q7735,diving,Q7735,diving,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q555752,https://en.wikipedia.org/wiki/Dmitri_Sautin,Dmitri Sautin,bronze,Q606834,https://en.wikipedia.org/wiki/Unified_Team_at_the_1992_Summer_Olympics,Unified (ex-Soviet) Team at the 1992 Summer Olympics,NA,NA,NA,NA,NA,NA,1974-03-15,Q3426,Voronezh,Q27538353,Voronezh Urban Okrug,"51.671666666667,39.210555555556",51.671666666667,39.210555555556,Q6581097,male,Q4000247,https://en.wikipedia.org/wiki/Diving_at_the_1992_Summer_Olympics_%E2%80%93_Men%27s_3_metre_springboard,diving at the 1992 Summer Olympics – men's 3 metre springboard,Q900199,diving at the 1992 Summer Olympics,Q7735,diving,Q7735,diving,Q7735,diving,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q445261,https://en.wikipedia.org/wiki/Gao_Min_(diver),Gao Min,gold,Q1190353,https://en.wikipedia.org/wiki/China_at_the_1992_Summer_Olympics,China at the 1992 Summer Olympics,Q148,People's Republic of China,CN,CHN,CHN,NA,1970-09-07,Q29015,Zigong,Q19770,Sichuan,"29.349842,104.764514",29.349842,104.764514,Q6581072,female,Q4000246,https://en.wikipedia.org/wiki/Diving_at_the_1992_Summer_Olympics_%E2%80%93_Women%27s_3_metre_springboard,diving at the 1992 Summer Olympics – women's 3 metre springboard,Q900199,diving at the 1992 Summer Olympics,Q7735,diving,Q7735,diving,Q7735,diving,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q459546,https://en.wikipedia.org/wiki/Irina_Lashko,Irina Lashko,silver,Q606834,https://en.wikipedia.org/wiki/Unified_Team_at_the_1992_Summer_Olympics,Unified (ex-Soviet) Team at the 1992 Summer Olympics,NA,NA,NA,NA,NA,NA,1973-01-25,Q894,Samara,Q27577214,Samara Urban Okrug,"53.183333333333,50.116666666667",53.183333333333,50.116666666667,Q6581072,female,Q4000246,https://en.wikipedia.org/wiki/Diving_at_the_1992_Summer_Olympics_%E2%80%93_Women%27s_3_metre_springboard,diving at the 1992 Summer Olympics – women's 3 metre springboard,Q900199,diving at the 1992 Summer Olympics,Q7735,diving,Q7735,diving,Q7735,diving,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q105697,https://en.wikipedia.org/wiki/Brita_Baldus,Brita Baldus,bronze,Q150388,https://en.wikipedia.org/wiki/Germany_at_the_1992_Summer_Olympics,Germany at the 1992 Summer Olympics,Q183,Germany,DE,DEU,GER,DE,1965-06-04,Q2079,Leipzig,Q1202,Saxony,"51.34,12.375",51.34,12.375,Q6581072,female,Q4000246,https://en.wikipedia.org/wiki/Diving_at_the_1992_Summer_Olympics_%E2%80%93_Women%27s_3_metre_springboard,diving at the 1992 Summer Olympics – women's 3 metre springboard,Q900199,diving at the 1992 Summer Olympics,Q7735,diving,Q7735,diving,Q7735,diving,DED,Sachsen,DED5,Leipzig,DED51,"Leipzig, Kreisfreie Stadt",1076346,616093,41261.18,23887.96,DE,Germany
Q539045,https://en.wikipedia.org/wiki/Sun_Shuwei,Sun Shuwei,gold,Q1190353,https://en.wikipedia.org/wiki/China_at_the_1992_Summer_Olympics,China at the 1992 Summer Olympics,Q148,People's Republic of China,CN,CHN,CHN,NA,1976-02-01,Q26323,Jieyang,Q15175,Guangdong,"23.55334,116.36495",23.55334,116.36495,Q6581097,male,Q4000245,https://en.wikipedia.org/wiki/Diving_at_the_1992_Summer_Olympics_%E2%80%93_Men%27s_10_metre_platform,diving at the 1992 Summer Olympics – men's 10 metre platform,Q900199,diving at the 1992 Summer Olympics,Q7735,diving,Q7735,diving,Q7735,diving,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q2260843,https://en.wikipedia.org/wiki/Scott_Donie,Scott Donie,silver,Q2449888,https://en.wikipedia.org/wiki/United_States_at_the_1992_Summer_Olympics,United States at the 1992 Summer Olympics,Q30,United States of America,US,USA,USA,NA,1968-10-10,Q6537,Vicenza,Q16316,Province of Vicenza,"45.55,11.55",45.55,11.55,Q6581097,male,Q4000245,https://en.wikipedia.org/wiki/Diving_at_the_1992_Summer_Olympics_%E2%80%93_Men%27s_10_metre_platform,diving at the 1992 Summer Olympics – men's 10 metre platform,Q900199,diving at the 1992 Summer Olympics,Q7735,diving,Q7735,diving,Q7735,diving,ITH,Nord-Est,ITH3,Veneto,ITH32,Vicenza,4849553,852779,180173.48,31425.97,IT,Italy
Q931115,https://en.wikipedia.org/wiki/Xiong_Ni,Xiong Ni,bronze,Q1190353,https://en.wikipedia.org/wiki/China_at_the_1992_Summer_Olympics,China at the 1992 Summer Olympics,Q148,People's Republic of China,CN,CHN,CHN,NA,1974-01-06,Q174091,Changsha,Q45761,Hunan,"28.19874,112.97087",28.19874,112.97087,Q6581097,male,Q4000245,https://en.wikipedia.org/wiki/Diving_at_the_1992_Summer_Olympics_%E2%80%93_Men%27s_10_metre_platform,diving at the 1992 Summer Olympics – men's 10 metre platform,Q900199,diving at the 1992 Summer Olympics,Q7735,diving,Q7735,diving,Q7735,diving,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q234415,https://en.wikipedia.org/wiki/Fu_Mingxia,Fu Mingxia,gold,Q1190353,https://en.wikipedia.org/wiki/China_at_the_1992_Summer_Olympics,China at the 1992 Summer Olympics,Q148,People's Republic of China,CN,CHN,CHN,NA,1978-08-16,Q11746,Wuhan,Q46862,Hubei,"30.5872222222222,114.288055555556",30.5872222222222,114.288055555556,Q6581072,female,Q4000244,https://en.wikipedia.org/wiki/Diving_at_the_1992_Summer_Olympics_%E2%80%93_Women%27s_10_metre_platform,diving at the 1992 Summer Olympics – women's 10 metre platform,Q900199,diving at the 1992 Summer Olympics,Q7735,diving,Q7735,diving,Q7735,diving,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
