event_name,medal,medalist_name,medalist_wikidata_id,country_medal,delegation_name,sex_or_gender
athletics at the 1948 Summer Olympics – women's shot put,bronze,Ine Schäffer,Q445926,Austria,Austria at the 1948 Summer Olympics,female
flyweight,bronze,Han Soo-ann,Q138851,South Korea,South Korea at the 1948 Summer Olympics,male
boxing at the 1948 Summer Olympics – flyweight,bronze,Han Soo-ann,Q138851,South Korea,South Korea at the 1948 Summer Olympics,male
dressage,bronze,Francisco Valadas,Q5484013,Portugal,Portugal at the 1948 Summer Olympics,male
equestrian at the 1948 Summer Olympics – team dressage,bronze,Francisco Valadas,Q5484013,Portugal,Portugal at the 1948 Summer Olympics,male
eventing,bronze,Joaquín Solano,Q2329523,Mexico,Mexico at the 1948 Summer Olympics,male
equestrian at the 1948 Summer Olympics – team eventing,bronze,Joaquín Solano,Q2329523,Mexico,Mexico at the 1948 Summer Olympics,male
show jumping,bronze,Arthur Carr,Q11959192,United Kingdom,Great Britain at the 1948 Summer Olympics,male
equestrian at the 1948 Summer Olympics – team jumping,bronze,Arthur Carr,Q11959192,United Kingdom,Great Britain at the 1948 Summer Olympics,male
fencing at the 1948 Summer Olympics – men's team foil,bronze,Raymond Bru,Q1641949,Belgium,Belgium at the 1948 Summer Olympics,male
fencing at the 1948 Summer Olympics – men's team sabre,gold,Tibor Berczelly,Q653950,Hungary,Hungary at the 1948 Summer Olympics,male
field hockey at the 1948 Summer Olympics,gold,Akhtar Hussain,Q3353207,India,India at the 1948 Summer Olympics,male
field hockey at the 1948 Summer Olympics,gold,Reginald Rodrigues,Q1813107,India,India at the 1948 Summer Olympics,male
field hockey at the 1948 Summer Olympics,gold,Lawrie Fernandes,Q3439142,India,India at the 1948 Summer Olympics,male
field hockey at the 1948 Summer Olympics,silver,Ronald Davis,Q3439643,United Kingdom,Great Britain at the 1948 Summer Olympics,male
gymnastics at the 1948 Summer Olympics – men's artistic team all-around,silver,Josef Stalder,Q115965,Switzerland,Switzerland at the 1948 Summer Olympics,male
gymnastics at the 1948 Summer Olympics – men's artistic team all-around,silver,Christian Kipfer,Q5109802,Switzerland,Switzerland at the 1948 Summer Olympics,male
gymnastics at the 1948 Summer Olympics – men's artistic team all-around,silver,Emil Studer,Q5371461,Switzerland,Switzerland at the 1948 Summer Olympics,male
gymnastics at the 1948 Summer Olympics – men's artistic team all-around,silver,Robert Lucy,Q7347037,Switzerland,Switzerland at the 1948 Summer Olympics,male
gymnastics at the 1948 Summer Olympics – men's artistic team all-around,silver,Melchior Thalmann,Q6812020,Switzerland,Switzerland at the 1948 Summer Olympics,male
gymnastics at the 1948 Summer Olympics – men's horizontal bar,gold,Josef Stalder,Q115965,Switzerland,Switzerland at the 1948 Summer Olympics,male
gymnastics at the 1948 Summer Olympics – men's parallel bars,bronze,Christian Kipfer,Q5109802,Switzerland,Switzerland at the 1948 Summer Olympics,male
gymnastics at the 1948 Summer Olympics – men's parallel bars,bronze,Josef Stalder,Q115965,Switzerland,Switzerland at the 1948 Summer Olympics,male
rowing at the 1948 Summer Olympics – men's coxless pair,silver,Hans Kalt,Q477381,Switzerland,Switzerland at the 1948 Summer Olympics,male
rowing at the 1948 Summer Olympics – men's coxless pair,silver,Josef Kalt,Q452616,Switzerland,Switzerland at the 1948 Summer Olympics,male
rowing at the 1948 Summer Olympics – men's coxed four,silver,Erich Schriever,Q5388109,Switzerland,Switzerland at the 1948 Summer Olympics,male
sailing at the 1948 Summer Olympics – 6 metre class,silver,"Enrique Sieburger, Sr.",Q5379837,Argentina,Argentina at the 1948 Summer Olympics,male
sailing at the 1948 Summer Olympics – 6 metre class,silver,Rufino Rodríguez de la Torre,Q3433606,Argentina,Argentina at the 1948 Summer Olympics,male
sailing at the 1948 Summer Olympics – 6 metre class,silver,Rodolfo Rivademar,Q3435743,Argentina,Argentina at the 1948 Summer Olympics,male
sailing at the 1948 Summer Olympics – 6 metre class,silver,Julio Sieburger,Q2918661,Argentina,Argentina at the 1948 Summer Olympics,male
shooting at the 1948 Summer Olympics – men's 50 metre pistol,silver,Rudolf Schnyder,Q7377315,Switzerland,Switzerland at the 1948 Summer Olympics,male
shooting at the 1948 Summer Olympics – men's 300 metre free rifle,bronze,Willy Røgeberg,Q923287,Norway,Norway at the 1948 Summer Olympics,male
swimming at the 1948 Summer Olympics – women's 200 metre breaststroke,silver,Nancy Lyons,Q1406875,United States of America,United States at the 1948 Summer Olympics,female
wrestling at the 1948 Summer Olympics – men's freestyle light heavyweight,silver,Fritz Stöckli,Q3753438,Switzerland,Switzerland at the 1948 Summer Olympics,male
