medalist_wikidata_id,medalist_link,medalist_name,medal,delegation_wikidata_id,delegation_link,delegation_name,country_medal_wikidata_id,country_medal,country_medal_code2,country_medal_code3,country_medal_ioc_country_code,country_medal_NUTS_code,date_of_birth,place_of_birth_wikidata_id,place_of_birth,place_of_birth_located_in_wikidata_id,place_of_birth_located_in,place_of_birth_coordinates,lat,lon,sex_or_gender_wikidata_id,sex_or_gender,event_wikidata_id,event_link,event_name,event_part_of_wikidata_id,event_part_of,event_sport_wikidata_id,event_sport,event_part_of_sport_wikidata_id,event_part_of_sport,sport_wikidata_id,sport,nuts1_id,nuts1_name,nuts2_id,nuts2_name,nuts3_id,nuts3_name,nuts2_population,nuts3_population,nuts2_gdp,nuts3_gdp,nuts0_id,nuts0_name
Q436139,https://en.wikipedia.org/wiki/Harrison_Dillard,Harrison Dillard,gold,Q2198277,https://en.wikipedia.org/wiki/United_States_at_the_1948_Summer_Olympics,United States at the 1948 Summer Olympics,Q30,United States of America,US,USA,USA,NA,1923-07-08,Q37320,Cleveland,Q251267,Cuyahoga County,"41.482222222222,-81.669722222222",41.482222222222,-81.669722222222,Q6581097,male,Q3628383,https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_100_metres,athletics at the 1948 Summer Olympics – men's 100 metres,Q515125,athletics at the 1948 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q808481,https://en.wikipedia.org/wiki/Barney_Ewell,Barney Ewell,silver,Q2198277,https://en.wikipedia.org/wiki/United_States_at_the_1948_Summer_Olympics,United States at the 1948 Summer Olympics,Q30,United States of America,US,USA,USA,NA,1918-02-25,Q25280,Harrisburg,Q488690,Dauphin County,"40.2645548713907,-76.883381676723",40.2645548713907,-76.883381676723,Q6581097,male,Q3628383,https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_100_metres,athletics at the 1948 Summer Olympics – men's 100 metres,Q515125,athletics at the 1948 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q703312,https://en.wikipedia.org/wiki/Lloyd_La_Beach,Lloyd La Beach,bronze,Q144263,https://en.wikipedia.org/wiki/Panama_at_the_1948_Summer_Olympics,Panama at the 1948 Summer Olympics,Q804,Panama,PA,PAN,PAN,NA,1922-06-28,Q3306,Panama City,Q2216411,Panamá District,"9,-79.5",9,-79.5,Q6581097,male,Q3628383,https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_100_metres,athletics at the 1948 Summer Olympics – men's 100 metres,Q515125,athletics at the 1948 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q229046,https://en.wikipedia.org/wiki/Fanny_Blankers-Koen,Fanny Blankers-Koen,gold,Q888579,https://en.wikipedia.org/wiki/Netherlands_at_the_1948_Summer_Olympics,Netherlands at the 1948 Summer Olympics,Q55,Netherlands,NL,NLD,NED,NL,1918-04-26,Q10027,Baarn,Q776,Utrecht,"52.2125,5.2861",52.2125,5.2861,Q6581072,female,Q3628380,https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Women%27s_100_metres,athletics at the 1948 Summer Olympics – women's 100 metres,Q515125,athletics at the 1948 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NL3,West-Nederland,NL31,Utrecht,NL310,Utrecht,1387643,1387643,88660.46,83277.67,NL,Netherlands
Q451325,https://en.wikipedia.org/wiki/Dorothy_Manley,Dorothy Manley,silver,Q1960430,https://en.wikipedia.org/wiki/Great_Britain_at_the_1948_Summer_Olympics,Great Britain at the 1948 Summer Olympics,Q145,United Kingdom,GB,GBR,GBR,UK,1927-04-29,Q84,London,Q23306,Greater London,"51.507222222222,-0.1275",51.507222222222,-0.1275,Q6581072,female,Q3628380,https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Women%27s_100_metres,athletics at the 1948 Summer Olympics – women's 100 metres,Q515125,athletics at the 1948 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,UKI,London,UKI3,Inner London — West,UKI32,Westminster,1190513,253137,NA,NA,UK,United Kingdom
Q230954,https://en.wikipedia.org/wiki/Shirley_Strickland_de_la_Hunty,Shirley Strickland,bronze,Q143346,https://en.wikipedia.org/wiki/Australia_at_the_1948_Summer_Olympics,Australia at the 1948 Summer Olympics,Q408,Australia,AU,AUS,AUS,NA,1925-07-18,Q478147,Northam,Q3206,Western Australia,"-31.653055555556,116.66611111111",-31.653055555556,116.66611111111,Q6581072,female,Q3628380,https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Women%27s_100_metres,athletics at the 1948 Summer Olympics – women's 100 metres,Q515125,athletics at the 1948 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q919830,https://en.wikipedia.org/wiki/Mel_Patton,Mel Patton,gold,Q2198277,https://en.wikipedia.org/wiki/United_States_at_the_1948_Summer_Olympics,United States at the 1948 Summer Olympics,Q30,United States of America,US,USA,USA,NA,1924-11-16,Q65,Los Angeles,Q104994,Los Angeles County,"34.05223,-118.24368",34.05223,-118.24368,Q6581097,male,Q3628386,https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_200_metres,athletics at the 1948 Summer Olympics – men's 200 metres,Q515125,athletics at the 1948 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q808481,https://en.wikipedia.org/wiki/Barney_Ewell,Barney Ewell,silver,Q2198277,https://en.wikipedia.org/wiki/United_States_at_the_1948_Summer_Olympics,United States at the 1948 Summer Olympics,Q30,United States of America,US,USA,USA,NA,1918-02-25,Q25280,Harrisburg,Q488690,Dauphin County,"40.2645548713907,-76.883381676723",40.2645548713907,-76.883381676723,Q6581097,male,Q3628386,https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_200_metres,athletics at the 1948 Summer Olympics – men's 200 metres,Q515125,athletics at the 1948 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q703312,https://en.wikipedia.org/wiki/Lloyd_La_Beach,Lloyd La Beach,bronze,Q144263,https://en.wikipedia.org/wiki/Panama_at_the_1948_Summer_Olympics,Panama at the 1948 Summer Olympics,Q804,Panama,PA,PAN,PAN,NA,1922-06-28,Q3306,Panama City,Q2216411,Panamá District,"9,-79.5",9,-79.5,Q6581097,male,Q3628386,https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_200_metres,athletics at the 1948 Summer Olympics – men's 200 metres,Q515125,athletics at the 1948 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q229046,https://en.wikipedia.org/wiki/Fanny_Blankers-Koen,Fanny Blankers-Koen,gold,Q888579,https://en.wikipedia.org/wiki/Netherlands_at_the_1948_Summer_Olympics,Netherlands at the 1948 Summer Olympics,Q55,Netherlands,NL,NLD,NED,NL,1918-04-26,Q10027,Baarn,Q776,Utrecht,"52.2125,5.2861",52.2125,5.2861,Q6581072,female,Q3628384,https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Women%27s_200_metres,athletics at the 1948 Summer Olympics – women's 200 metres,Q515125,athletics at the 1948 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NL3,West-Nederland,NL31,Utrecht,NL310,Utrecht,1387643,1387643,88660.46,83277.67,NL,Netherlands
