medalist_wikidata_id,medalist_link,medalist_name,medal,delegation_wikidata_id,delegation_link,delegation_name,country_medal_wikidata_id,country_medal,country_medal_code2,country_medal_code3,country_medal_ioc_country_code,country_medal_NUTS_code,date_of_birth,place_of_birth_wikidata_id,place_of_birth,place_of_birth_located_in_wikidata_id,place_of_birth_located_in,place_of_birth_coordinates,lat,lon,sex_or_gender_wikidata_id,sex_or_gender,event_wikidata_id,event_link,event_name,event_part_of_wikidata_id,event_part_of,event_sport_wikidata_id,event_sport,event_part_of_sport_wikidata_id,event_part_of_sport,sport_wikidata_id,sport,nuts1_id,nuts1_name,nuts2_id,nuts2_name,nuts3_id,nuts3_name,nuts2_population,nuts3_population,nuts2_gdp,nuts3_gdp,nuts0_id,nuts0_name
Q57678,https://en.wikipedia.org/wiki/Armin_Hary,Armin Hary,gold,Q2057291,https://en.wikipedia.org/wiki/United_Team_of_Germany_at_the_1960_Summer_Olympics,Germany at the 1960 Summer Olympics,Q183,Germany,DE,DEU,GER,DE,1937-03-22,Q662580,Quierschied,Q6805,Regionalverband Saarbrücken,"49.3167,7.05",49.3167,7.05,Q6581097,male,Q3628510,https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_100_metres,athletics at the 1960 Summer Olympics – men's 100 metres,Q575680,athletics at the 1960 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,DEC,Saarland,DEC0,Saarland,DEC01,Regionalverband Saarbrücken,992666,330848,38734.6,15183.34,DE,Germany
Q321940,https://en.wikipedia.org/wiki/Dave_Sime,Dave Sime,silver,Q2078654,https://en.wikipedia.org/wiki/United_States_at_the_1960_Summer_Olympics,United States at the 1960 Summer Olympics,Q30,United States of America,US,USA,USA,NA,1936-07-25,Q138391,Paterson,Q495974,Passaic County,"40.915555555556,-74.163055555556",40.915555555556,-74.163055555556,Q6581097,male,Q3628510,https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_100_metres,athletics at the 1960 Summer Olympics – men's 100 metres,Q575680,athletics at the 1960 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q1347587,https://en.wikipedia.org/wiki/Peter_Radford,Peter Radford,bronze,Q2618201,https://en.wikipedia.org/wiki/Great_Britain_at_the_1960_Summer_Olympics,Great Britain at the 1960 Summer Olympics,Q145,United Kingdom,GB,GBR,GBR,UK,1939-09-20,Q504530,Walsall,Q178356,Walsall,"52.58,-1.98",52.58,-1.98,Q6581097,male,Q3628510,https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_100_metres,athletics at the 1960 Summer Olympics – men's 100 metres,Q575680,athletics at the 1960 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,UKG,West Midlands (England),UKG3,West Midlands,UKG38,Walsall,2928377,283663,NA,NA,UK,United Kingdom
Q8318,https://en.wikipedia.org/wiki/Livio_Berruti,Livio Berruti,gold,Q2732331,https://en.wikipedia.org/wiki/Italy_at_the_1960_Summer_Olympics,Italy at the 1960 Summer Olympics,Q38,Italy,IT,ITA,ITA,IT,1939-05-19,Q495,Turin,Q18288162,Metropolitan City of Turin,"45.0791666666667,7.67611111111111",45.0791666666667,7.67611111111111,Q6581097,male,Q3628515,https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_200_metres,athletics at the 1960 Summer Olympics – men's 200 metres,Q575680,athletics at the 1960 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,ITC,Nord-Ovest,ITC1,Piemonte,ITC11,Torino,4251351,2204632,145913.79,75853.99,IT,Italy
Q1393664,https://en.wikipedia.org/wiki/Lester_Carney,Lester Carney,silver,Q2078654,https://en.wikipedia.org/wiki/United_States_at_the_1960_Summer_Olympics,United States at the 1960 Summer Olympics,Q30,United States of America,US,USA,USA,NA,1934-03-31,Q1985364,Bellaire,Q485513,Belmont County,"40.0167,-80.75",40.0167,-80.75,Q6581097,male,Q3628515,https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_200_metres,athletics at the 1960 Summer Olympics – men's 200 metres,Q575680,athletics at the 1960 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q308412,https://en.wikipedia.org/wiki/Abdoulaye_Seye,Abdoulaye Seye,bronze,Q2106560,https://en.wikipedia.org/wiki/France_at_the_1960_Summer_Olympics,France at the 1960 Summer Olympics,Q142,France,FR,FRA,FRA,FR,1934-07-30,Q273779,Saint-Louis,Q2066134,Saint-Louis Department,"16.033333333333,-16.5",16.033333333333,-16.5,Q6581097,male,Q3628515,https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_200_metres,athletics at the 1960 Summer Olympics – men's 200 metres,Q575680,athletics at the 1960 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q711402,https://en.wikipedia.org/wiki/Otis_Davis,Otis Davis,gold,Q2078654,https://en.wikipedia.org/wiki/United_States_at_the_1960_Summer_Olympics,United States at the 1960 Summer Olympics,Q30,United States of America,US,USA,USA,NA,1932-07-12,Q79580,Tuscaloosa,Q503877,Tuscaloosa County,"33.206666666667,-87.534722222222",33.206666666667,-87.534722222222,Q6581097,male,Q3628518,https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_400_metres,athletics at the 1960 Summer Olympics – men's 400 metres,Q575680,athletics at the 1960 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q530351,https://en.wikipedia.org/wiki/Carl_Kaufmann,Carl Kaufmann,silver,Q2057291,https://en.wikipedia.org/wiki/United_Team_of_Germany_at_the_1960_Summer_Olympics,Germany at the 1960 Summer Olympics,Q183,Germany,DE,DEU,GER,DE,1936-03-25,Q60,New York City,Q1384,New York,"40.7,-74",40.7,-74,Q6581097,male,Q3628518,https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_400_metres,athletics at the 1960 Summer Olympics – men's 400 metres,Q575680,athletics at the 1960 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q516874,https://en.wikipedia.org/wiki/Malcolm_Spence_(South_African_athlete),Malcolm Spence,bronze,Q2666950,https://en.wikipedia.org/wiki/South_Africa_at_the_1960_Summer_Olympics,South Africa at the 1960 Summer Olympics,Q258,South Africa,ZA,ZAF,RSA,NA,1937-09-04,Q34647,Johannesburg,Q2346838,City of Johannesburg Metropolitan Municipality,"-26.204361111111,28.041638888889",-26.204361111111,28.041638888889,Q6581097,male,Q3628518,https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_400_metres,athletics at the 1960 Summer Olympics – men's 400 metres,Q575680,athletics at the 1960 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q52659,https://en.wikipedia.org/wiki/Peter_Snell,Peter Snell,gold,Q144957,https://en.wikipedia.org/wiki/New_Zealand_at_the_1960_Summer_Olympics,New Zealand at the 1960 Summer Olympics,Q664,New Zealand,NZ,NZL,NZL,NA,1938-12-17,Q995218,Ōpunake,Q1972712,South Taranaki District,"-39.4525,173.85472222222",-39.4525,173.85472222222,Q6581097,male,Q3628521,https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_800_metres,athletics at the 1960 Summer Olympics – men's 800 metres,Q575680,athletics at the 1960 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
