event_name,medal,medalist_name,medalist_wikidata_id,country_medal,delegation_name,sex_or_gender
athletics at the 2004 Summer Olympics – men's 4 × 400 metres relay,bronze,Musa Audu,Q1366408,Nigeria,Nigeria at the 2004 Summer Olympics,male
baseball at the 2004 Summer Olympics,gold,Luis Borroto,Q3362957,Cuba,Cuba at the 2004 Summer Olympics,male
baseball at the 2004 Summer Olympics,gold,Yorelvis Charles,Q3362972,Cuba,Cuba at the 2004 Summer Olympics,male
baseball at the 2004 Summer Olympics,gold,Norberto González,Q3267126,Cuba,Cuba at the 2004 Summer Olympics,male
baseball at the 2004 Summer Olympics,gold,Danny Miranda,Q3362907,Cuba,Cuba at the 2004 Summer Olympics,male
baseball at the 2004 Summer Olympics,gold,Carlos Tabares,Q3426752,Cuba,Cuba at the 2004 Summer Olympics,male
baseball at the 2004 Summer Olympics,gold,Osmani Urrutia,Q3267100,Cuba,Cuba at the 2004 Summer Olympics,male
baseball at the 2004 Summer Olympics,gold,Manuel Vega,Q3362941,Cuba,Cuba at the 2004 Summer Olympics,male
baseball at the 2004 Summer Olympics,gold,Norge Luis Vera,Q542397,Cuba,Cuba at the 2004 Summer Olympics,male
baseball at the 2004 Summer Olympics,silver,Nick Kimpton,Q3426779,Australia,Australia at the 2004 Summer Olympics,male
baseball at the 2004 Summer Olympics,silver,Craig Lewis,Q3427227,Australia,Australia at the 2004 Summer Olympics,male
baseball at the 2004 Summer Olympics,silver,Brett Tamburrino,Q3427222,Australia,Australia at the 2004 Summer Olympics,male
baseball at the 2004 Summer Olympics,silver,Ben Wigmore,Q3427388,Australia,Australia at the 2004 Summer Olympics,male
baseball at the 2004 Summer Olympics,silver,Rodney van Buizen,Q3362698,Australia,Australia at the 2004 Summer Olympics,male
field hockey at the 2004 Summer Olympics – women's tournament,silver,Maartje Scheepstra,Q2569746,Netherlands,Netherlands at the 2004 Summer Olympics,female
handball at the 2004 Summer Olympics – women's tournament,silver,Myoung Bok-hee,Q2024564,South Korea,South Korea at the 2004 Summer Olympics,female
handball at the 2004 Summer Olympics – women's tournament,silver,Kim Hyun-ok,Q2024640,South Korea,South Korea at the 2004 Summer Olympics,female
handball at the 2004 Summer Olympics – women's tournament,silver,Moon Kyeong-ha,Q2025494,South Korea,South Korea at the 2004 Summer Olympics,female
handball at the 2004 Summer Olympics – women's tournament,silver,Moon Pil-hee,Q1953605,South Korea,South Korea at the 2004 Summer Olympics,female
handball at the 2004 Summer Olympics – women's tournament,silver,Jang So-hee,Q2025340,South Korea,South Korea at the 2004 Summer Olympics,female
handball at the 2004 Summer Olympics – women's tournament,silver,Oh Yong-ran,Q1953626,South Korea,South Korea at the 2004 Summer Olympics,female
sailing at the 2004 Summer Olympics – Europe class,bronze,Signe Livbjerg,Q16221174,Denmark,Denmark at the 2004 Summer Olympics,female
sailing at the 2004 Summer Olympics – Yngling class,bronze,Helle Jespersen,Q12316071,Denmark,Denmark at the 2004 Summer Olympics,female
volleyball at the 2004 Summer Olympics – women's tournament,bronze,Anniara Muñoz,Q4769175,Cuba,Cuba at the 2004 Summer Olympics,female
weightlifting at the 2004 Summer Olympics – women's 58 kg,silver,Ri Song-hui,Q447861,North Korea,North Korea at the 2004 Summer Olympics,female
