medalist_wikidata_id,medalist_link,medalist_name,medal,delegation_wikidata_id,delegation_link,delegation_name,country_medal_wikidata_id,country_medal,country_medal_code2,country_medal_code3,country_medal_ioc_country_code,country_medal_NUTS_code,date_of_birth,place_of_birth_wikidata_id,place_of_birth,place_of_birth_located_in_wikidata_id,place_of_birth_located_in,place_of_birth_coordinates,lat,lon,sex_or_gender_wikidata_id,sex_or_gender,event_wikidata_id,event_link,event_name,event_part_of_wikidata_id,event_part_of,event_sport_wikidata_id,event_sport,event_part_of_sport_wikidata_id,event_part_of_sport,sport_wikidata_id,sport,nuts1_id,nuts1_name,nuts2_id,nuts2_name,nuts3_id,nuts3_name,nuts2_population,nuts3_population,nuts2_gdp,nuts3_gdp,nuts0_id,nuts0_name
Q350019,https://en.wikipedia.org/wiki/Marco_Galiazzo,Marco Galiazzo,gold,Q595776,https://en.wikipedia.org/wiki/Italy_at_the_2004_Summer_Olympics,Italy at the 2004 Summer Olympics,Q38,Italy,IT,ITA,ITA,IT,1983-05-07,Q617,Padua,Q16226,Province of Padua,"45.406388888889,11.877777777778",45.406388888889,11.877777777778,Q6581097,male,Q1408290,https://en.wikipedia.org/wiki/Archery_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_individual,archery at the 2004 Summer Olympics – men's individual,Q575675,archery at the 2004 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,ITH,Nord-Est,ITH3,Veneto,ITH36,Padova,4849553,930349,180173.48,33461.47,IT,Italy
Q460832,https://en.wikipedia.org/wiki/Hiroshi_Yamamoto_(archer),Hiroshi Yamamoto,silver,Q736509,https://en.wikipedia.org/wiki/Japan_at_the_2004_Summer_Olympics,Japan at the 2004 Summer Olympics,Q17,Japan,JP,JPN,JPN,NA,1962-10-31,Q38283,Yokohama,Q127513,Kanagawa Prefecture,"35.4503333333333,139.634222222222",35.4503333333333,139.634222222222,Q6581097,male,Q1408290,https://en.wikipedia.org/wiki/Archery_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_individual,archery at the 2004 Summer Olympics – men's individual,Q575675,archery at the 2004 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q3035788,https://en.wikipedia.org/wiki/Tim_Cuddihy,Tim Cuddihy,bronze,Q141867,https://en.wikipedia.org/wiki/Australia_at_the_2004_Summer_Olympics,Australia at the 2004 Summer Olympics,Q408,Australia,AU,AUS,AUS,NA,1987-05-21,Q478302,Toowoomba,Q1067014,Toowoomba Region,"-27.55,151.95",-27.55,151.95,Q6581097,male,Q1408290,https://en.wikipedia.org/wiki/Archery_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_individual,archery at the 2004 Summer Olympics – men's individual,Q575675,archery at the 2004 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q314086,https://en.wikipedia.org/wiki/Im_Dong-Hyun,Im Dong-hyun,gold,Q485867,https://en.wikipedia.org/wiki/South_Korea_at_the_2004_Summer_Olympics,South Korea at the 2004 Summer Olympics,Q884,South Korea,KR,KOR,KOR,NA,1986-05-12,Q42147,Cheongju,Q41066,North Chungcheong,"36.637222222222,127.48972222222",36.637222222222,127.48972222222,Q6581097,male,Q1408300,https://en.wikipedia.org/wiki/Archery_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 2004 Summer Olympics – men's team,Q575675,archery at the 2004 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q495002,https://en.wikipedia.org/wiki/Jang_Yong-Ho,Jang Yong-Ho,gold,Q485867,https://en.wikipedia.org/wiki/South_Korea_at_the_2004_Summer_Olympics,South Korea at the 2004 Summer Olympics,Q884,South Korea,KR,KOR,KOR,NA,1976-04-04,Q41161,South Jeolla,Q884,South Korea,"34.75,127",34.75,127,Q6581097,male,Q1408300,https://en.wikipedia.org/wiki/Archery_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 2004 Summer Olympics – men's team,Q575675,archery at the 2004 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q495207,https://en.wikipedia.org/wiki/Park_Kyung-Mo,Park Kyung-mo,gold,Q485867,https://en.wikipedia.org/wiki/South_Korea_at_the_2004_Summer_Olympics,South Korea at the 2004 Summer Olympics,Q884,South Korea,KR,KOR,KOR,NA,1975-08-15,Q50309,Okcheon County,Q41066,North Chungcheong,"36.300833333333,127.56861111111",36.300833333333,127.56861111111,Q6581097,male,Q1408300,https://en.wikipedia.org/wiki/Archery_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 2004 Summer Olympics – men's team,Q575675,archery at the 2004 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q401604,https://en.wikipedia.org/wiki/Chen_Szu-yuan,Chen Szu-yuan,silver,Q704349,https://en.wikipedia.org/wiki/Chinese_Taipei_at_the_2004_Summer_Olympics,Chinese Taipei at the 2004 Summer Olympics,Q216923,Chinese Taipei,NA,NA,TPE,NA,1981-02-07,Q1867,Taipei,Q865,Taiwan,"25.0375,121.5625",25.0375,121.5625,Q6581097,male,Q1408300,https://en.wikipedia.org/wiki/Archery_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 2004 Summer Olympics – men's team,Q575675,archery at the 2004 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q401597,https://en.wikipedia.org/wiki/Liu_Ming-huang,Liu Ming-huang,silver,Q704349,https://en.wikipedia.org/wiki/Chinese_Taipei_at_the_2004_Summer_Olympics,Chinese Taipei at the 2004 Summer Olympics,Q216923,Chinese Taipei,NA,NA,TPE,NA,1984-09-17,Q706544,Puli Township,Q82357,Nantou County,"23.966666666667,120.96666666667",23.966666666667,120.96666666667,Q6581097,male,Q1408300,https://en.wikipedia.org/wiki/Archery_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 2004 Summer Olympics – men's team,Q575675,archery at the 2004 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q402027,https://en.wikipedia.org/wiki/Wang_Cheng-pang,Wang Cheng-Pang,silver,Q704349,https://en.wikipedia.org/wiki/Chinese_Taipei_at_the_2004_Summer_Olympics,Chinese Taipei at the 2004 Summer Olympics,Q216923,Chinese Taipei,NA,NA,TPE,NA,1987-01-12,Q713310,Hualien City,Q249868,Hualien County,"23.972222222222,121.60638888889",23.972222222222,121.60638888889,Q6581097,male,Q1408300,https://en.wikipedia.org/wiki/Archery_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 2004 Summer Olympics – men's team,Q575675,archery at the 2004 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q1658676,https://en.wikipedia.org/wiki/Dmytro_Hrachov,Dmytro Hrachov,bronze,Q1076818,https://en.wikipedia.org/wiki/Ukraine_at_the_2004_Summer_Olympics,Ukraine at the 2004 Summer Olympics,Q212,Ukraine,UA,UKR,UKR,NA,1983-12-05,Q36036,Lviv,Q105061345,Lviv urban hromada,"49.8425,24.0322222222222",49.8425,24.0322222222222,Q6581097,male,Q1408300,https://en.wikipedia.org/wiki/Archery_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 2004 Summer Olympics – men's team,Q575675,archery at the 2004 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,UA7,Macroregion_07,UA73,Lvivska Oblast,UA733,Lvivskyi Raion,NA,NA,NA,NA,UA,Ukraine
Q362101,https://en.wikipedia.org/wiki/Viktor_Ruban,Viktor Ruban,bronze,Q1076818,https://en.wikipedia.org/wiki/Ukraine_at_the_2004_Summer_Olympics,Ukraine at the 2004 Summer Olympics,Q212,Ukraine,UA,UKR,UKR,NA,1981-05-24,Q42308,Kharkiv,Q102428285,Kharkiv Raion,"49.9925,36.2311111111111",49.9925,36.2311111111111,Q6581097,male,Q1408300,https://en.wikipedia.org/wiki/Archery_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 2004 Summer Olympics – men's team,Q575675,archery at the 2004 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,UA1,Macroregion_01,UA13,Kharkivska Oblast,UA136,Kharkivskyi Raion,NA,NA,NA,NA,UA,Ukraine
