medalist_wikidata_id,medalist_link,medalist_name,medal,delegation_wikidata_id,delegation_link,delegation_name,country_medal_wikidata_id,country_medal,country_medal_code2,country_medal_code3,country_medal_ioc_country_code,country_medal_NUTS_code,date_of_birth,place_of_birth_wikidata_id,place_of_birth,place_of_birth_located_in_wikidata_id,place_of_birth_located_in,place_of_birth_coordinates,lat,lon,sex_or_gender_wikidata_id,sex_or_gender,event_wikidata_id,event_link,event_name,event_part_of_wikidata_id,event_part_of,event_sport_wikidata_id,event_sport,event_part_of_sport_wikidata_id,event_part_of_sport,sport_wikidata_id,sport,nuts1_id,nuts1_name,nuts2_id,nuts2_name,nuts3_id,nuts3_name,nuts2_population,nuts3_population,nuts2_gdp,nuts3_gdp,nuts0_id,nuts0_name
Q1189,https://en.wikipedia.org/wiki/Usain_Bolt,Usain Bolt,gold,Q142027,https://en.wikipedia.org/wiki/Jamaica_at_the_2012_Summer_Olympics,Jamaica at the 2012 Summer Olympics,Q766,Jamaica,JM,JAM,JAM,NA,1986-08-21,Q1278713,Sherwood Content,Q1123340,Trelawny Parish,"18.39055556,-77.6275",18.39055556,-77.6275,Q6581097,male,Q734020,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres,athletics at the 2012 Summer Olympics – men's 100 metres,Q185262,athletics at the 2012 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q1651,https://en.wikipedia.org/wiki/Yohan_Blake,Yohan Blake,silver,Q142027,https://en.wikipedia.org/wiki/Jamaica_at_the_2012_Summer_Olympics,Jamaica at the 2012 Summer Olympics,Q766,Jamaica,JM,JAM,JAM,NA,1989-12-26,Q1421939,Saint James Parish,Q1134343,Cornwall County,"18.383333333333,-77.883333333333",18.383333333333,-77.883333333333,Q6581097,male,Q734020,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres,athletics at the 2012 Summer Olympics – men's 100 metres,Q185262,athletics at the 2012 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q1652,https://en.wikipedia.org/wiki/Justin_Gatlin,Justin Gatlin,bronze,Q139623,https://en.wikipedia.org/wiki/United_States_at_the_2012_Summer_Olympics,United States at the 2012 Summer Olympics,Q30,United States of America,US,USA,USA,NA,1982-02-10,Q18419,Brooklyn,Q60,New York City,"40.65083,-73.94972",40.65083,-73.94972,Q6581097,male,Q734020,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres,athletics at the 2012 Summer Olympics – men's 100 metres,Q185262,athletics at the 2012 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q1189,https://en.wikipedia.org/wiki/Usain_Bolt,Usain Bolt,gold,Q142027,https://en.wikipedia.org/wiki/Jamaica_at_the_2012_Summer_Olympics,Jamaica at the 2012 Summer Olympics,Q766,Jamaica,JM,JAM,JAM,NA,1986-08-21,Q1278713,Sherwood Content,Q1123340,Trelawny Parish,"18.39055556,-77.6275",18.39055556,-77.6275,Q6581097,male,Q1649415,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_200_metres,athletics at the 2012 Summer Olympics – men's 200 metres,Q185262,athletics at the 2012 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q1651,https://en.wikipedia.org/wiki/Yohan_Blake,Yohan Blake,silver,Q142027,https://en.wikipedia.org/wiki/Jamaica_at_the_2012_Summer_Olympics,Jamaica at the 2012 Summer Olympics,Q766,Jamaica,JM,JAM,JAM,NA,1989-12-26,Q1421939,Saint James Parish,Q1134343,Cornwall County,"18.383333333333,-77.883333333333",18.383333333333,-77.883333333333,Q6581097,male,Q1649415,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_200_metres,athletics at the 2012 Summer Olympics – men's 200 metres,Q185262,athletics at the 2012 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q1654,https://en.wikipedia.org/wiki/Warren_Weir,Warren Weir,bronze,Q142027,https://en.wikipedia.org/wiki/Jamaica_at_the_2012_Summer_Olympics,Jamaica at the 2012 Summer Olympics,Q766,Jamaica,JM,JAM,JAM,NA,1989-10-31,Q1123340,Trelawny Parish,Q1134343,Cornwall County,"18.383333333333,-77.633333333333",18.383333333333,-77.633333333333,Q6581097,male,Q1649415,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_200_metres,athletics at the 2012 Summer Olympics – men's 200 metres,Q185262,athletics at the 2012 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q1655,https://en.wikipedia.org/wiki/Kirani_James,Kirani James,gold,Q140574,https://en.wikipedia.org/wiki/Grenada_at_the_2012_Summer_Olympics,Grenada at the 2012 Summer Olympics,Q769,Grenada,GD,GRD,GRN,NA,1992-09-01,Q375507,Gouyave,Q1476289,Saint John Parish,"12.166388888889,-61.73",12.166388888889,-61.73,Q6581097,male,Q1636766,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_400_metres,athletics at the 2012 Summer Olympics – men's 400 metres,Q185262,athletics at the 2012 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q1656,https://en.wikipedia.org/wiki/Luguel%C3%ADn_Santos,Luguelín Santos,silver,Q141133,https://en.wikipedia.org/wiki/Dominican_Republic_at_the_2012_Summer_Olympics,Dominican Republic at the 2012 Summer Olympics,Q786,Dominican Republic,DO,DOM,DOM,NA,1992-11-12,Q1770505,Bayaguana,Q1772745,Monte Plata Province,"18.76,-69.64",18.76,-69.64,Q6581097,male,Q1636766,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_400_metres,athletics at the 2012 Summer Olympics – men's 400 metres,Q185262,athletics at the 2012 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q1657,https://en.wikipedia.org/wiki/Lalonde_Gordon,Lalonde Gordon,bronze,Q140890,https://en.wikipedia.org/wiki/Trinidad_and_Tobago_at_the_2012_Summer_Olympics,Trinidad and Tobago at the 2012 Summer Olympics,Q754,Trinidad and Tobago,TT,TTO,TTO,NA,1988-11-25,Q185111,Tobago,NA,NA,"11.25,-60.667",11.25,-60.667,Q6581097,male,Q1636766,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_400_metres,athletics at the 2012 Summer Olympics – men's 400 metres,Q185262,athletics at the 2012 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q1659,https://en.wikipedia.org/wiki/David_Rudisha,David Rudisha,gold,Q140514,https://en.wikipedia.org/wiki/Kenya_at_the_2012_Summer_Olympics,Kenya at the 2012 Summer Olympics,Q114,Kenya,KE,KEN,KEN,NA,1988-12-17,Q1637086,Kilgoris,Q38587,Rift Valley Province,"-1,34.88333333",-1,34.88333333,Q6581097,male,Q1049551,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_800_metres,athletics at the 2012 Summer Olympics – men's 800 metres,Q185262,athletics at the 2012 Summer Olympics,Q542,athletics,Q542,athletics,Q542,athletics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
