event_name,medal,medalist_name,medalist_wikidata_id,country_medal,delegation_name,sex_or_gender
athletics at the 1964 Summer Olympics – women's high jump,silver,Michele Brown,Q459005,Australia,Australia at the 1964 Summer Olympics,female
boxing at the 1964 Summer Olympics – featherweight,silver,Anthony Villanueva,Q2643052,Philippines,Philippines at the 1964 Summer Olympics,male
boxing at the 1964 Summer Olympics – light heavyweight,bronze,Alexander Nikolov,Q4719757,Bulgaria,Bulgaria at the 1964 Summer Olympics,male
equestrian at the 1964 Summer Olympics – individual jumping,bronze,Peter Robeson,Q16091293,United Kingdom,Great Britain at the 1964 Summer Olympics,male
field hockey at the 1964 Summer Olympics,gold,Bandu Patil,Q4854725,India,India at the 1964 Summer Olympics,male
field hockey at the 1964 Summer Olympics,gold,Syed Ali,Q2091561,India,India at the 1964 Summer Olympics,male
field hockey at the 1964 Summer Olympics,silver,Mohammad Asad Malik,Q6891830,Pakistan,Pakistan at the 1964 Summer Olympics,male
field hockey at the 1964 Summer Olympics,silver,Nawaz Khizar,Q17099564,Pakistan,Pakistan at the 1964 Summer Olympics,male
field hockey at the 1964 Summer Olympics,silver,Khurshid Azam,Q16169948,Pakistan,Pakistan at the 1964 Summer Olympics,male
field hockey at the 1964 Summer Olympics,silver,Muhammad Manna,Q17103514,Pakistan,Pakistan at the 1964 Summer Olympics,male
field hockey at the 1964 Summer Olympics,silver,Muhammad Rashid,Q6932672,Pakistan,Pakistan at the 1964 Summer Olympics,male
field hockey at the 1964 Summer Olympics,silver,Zafar Hayat,Q17096410,Pakistan,Pakistan at the 1964 Summer Olympics,male
field hockey at the 1964 Summer Olympics,bronze,Robin Hodder,Q7352470,Australia,Australia at the 1964 Summer Olympics,male
rowing at the 1964 Summer Olympics – men's coxless four,silver,Hugh Wardell-Yerburgh,Q5933004,United Kingdom,Great Britain at the 1964 Summer Olympics,male
rowing at the 1964 Summer Olympics – men's coxless four,silver,William L. Barry,Q8014135,United Kingdom,Great Britain at the 1964 Summer Olympics,male
rowing at the 1964 Summer Olympics – men's coxless four,silver,John James,Q6241491,United Kingdom,Great Britain at the 1964 Summer Olympics,male
NA,gold,Peter O'Donnell,Q7176164,Australia,Australia at the 1964 Summer Olympics,male
sailing at the 1964 Summer Olympics – 5.5 metre,gold,Peter O'Donnell,Q7176164,Australia,Australia at the 1964 Summer Olympics,male
swimming at the 1964 Summer Olympics – men's 4 × 100 metre freestyle relay,bronze,John Ryan,Q3182407,Australia,Australia at the 1964 Summer Olympics,male
swimming at the 1964 Summer Olympics – men's 4 × 200 metre freestyle relay,bronze,Kunihiro Iwasaki,Q6444666,Japan,Japan at the 1964 Summer Olympics,male
swimming at the 1964 Summer Olympics – men's 4 × 100 metre medley relay,bronze,Peter Reynolds,Q3376844,Australia,Australia at the 1964 Summer Olympics,male
volleyball at the 1964 Summer Olympics – men's tournament,bronze,Yutaka Demachi,Q1030196,Japan,Japan at the 1964 Summer Olympics,male
volleyball at the 1964 Summer Olympics – men's tournament,bronze,Yasutaka Sato,Q1030733,Japan,Japan at the 1964 Summer Olympics,male
volleyball at the 1964 Summer Olympics – men's tournament,bronze,Tokihiko Higuchi,Q3305510,Japan,Japan at the 1964 Summer Olympics,male
water polo at the 1964 Summer Olympics,bronze,Igor Grabovsky,Q1619594,Soviet Union,Soviet Union at the 1964 Summer Olympics,male
water polo at the 1964 Summer Olympics,bronze,Vladimir Kuznetsov,Q4015846,Soviet Union,Soviet Union at the 1964 Summer Olympics,male
water polo at the 1964 Summer Olympics,bronze,Zenon Bortkevich,Q3429811,Soviet Union,Soviet Union at the 1964 Summer Olympics,male
water polo at the 1964 Summer Olympics,bronze,Nikolay Kuznetsov,Q3876927,Soviet Union,Soviet Union at the 1964 Summer Olympics,male
water polo at the 1964 Summer Olympics,bronze,Eduard Egorov,Q3719752,Soviet Union,Soviet Union at the 1964 Summer Olympics,male
