event_name,medal,medalist_name,medalist_wikidata_id,country_medal,delegation_name,sex_or_gender
archery at the 2008 Summer Olympics – women's individual,bronze,Yun Ok-hee,Q484193,South Korea,South Korea at the 2008 Summer Olympics,female
archery at the 2008 Summer Olympics – women's team,gold,Yun Ok-hee,Q484193,South Korea,South Korea at the 2008 Summer Olympics,female
athletics at the 2008 Summer Olympics – women's 4 × 400 metres relay,silver,Rosemarie Whyte,Q238282,Jamaica,Jamaica at the 2008 Summer Olympics,female
baseball at the 2008 Summer Olympics,silver,Norberto González,Q3267126,Cuba,Cuba at the 2008 Summer Olympics,male
baseball at the 2008 Summer Olympics,silver,Norge Luis Vera,Q542397,Cuba,Cuba at the 2008 Summer Olympics,male
baseball at the 2008 Summer Olympics,silver,Elier Sánchez,Q3296657,Cuba,Cuba at the 2008 Summer Olympics,male
field hockey at the 2008 Summer Olympics – women's tournament,silver,Chen Qiuqi,Q712267,People's Republic of China,China at the 2008 Summer Olympics,female
handball at the 2008 Summer Olympics – women's tournament,bronze,Oh Yong-ran,Q1953626,South Korea,South Korea at the 2008 Summer Olympics,female
handball at the 2008 Summer Olympics – women's tournament,bronze,Kim On-a,Q486714,South Korea,South Korea at the 2008 Summer Olympics,female
handball at the 2008 Summer Olympics – women's tournament,bronze,Song Hai-rim,Q1953668,South Korea,South Korea at the 2008 Summer Olympics,female
handball at the 2008 Summer Olympics – women's tournament,bronze,Kim Nam-sun,Q267817,South Korea,South Korea at the 2008 Summer Olympics,female
handball at the 2008 Summer Olympics – women's tournament,bronze,Park Chung-hee,Q1953640,South Korea,South Korea at the 2008 Summer Olympics,female
handball at the 2008 Summer Olympics – women's tournament,bronze,Lee Min-hee,Q1953656,South Korea,South Korea at the 2008 Summer Olympics,female
handball at the 2008 Summer Olympics – women's tournament,bronze,An Jung-Hwa,Q1953705,South Korea,South Korea at the 2008 Summer Olympics,female
handball at the 2008 Summer Olympics – women's tournament,bronze,Moon Pil-hee,Q1953605,South Korea,South Korea at the 2008 Summer Olympics,female
weightlifting at the 2008 Summer Olympics – women's 58 kg,silver,O Jong-ae,Q509033,North Korea,North Korea at the 2008 Summer Olympics,female
