event_link,medal,medalist_link,delegation_link,medalist_wikidata_id,event_wikidata_id,delegation_wikidata_id
https://en.wikipedia.org/wiki/Diving_at_the_1976_Summer_Olympics_%E2%80%93_Men%27s_3_metre_springboard,gold,https://en.wikipedia.org/wiki/Phil_Boggs,https://en.wikipedia.org/wiki/United_States_at_the_1976_Summer_Olympics,Q982720,Q4000225,Q2433247
https://en.wikipedia.org/wiki/Diving_at_the_1976_Summer_Olympics_%E2%80%93_Men%27s_3_metre_springboard,silver,https://en.wikipedia.org/wiki/Giorgio_Cagnotto,https://en.wikipedia.org/wiki/Italy_at_the_1976_Summer_Olympics,Q716469,Q4000225,Q962984
https://en.wikipedia.org/wiki/Diving_at_the_1976_Summer_Olympics_%E2%80%93_Men%27s_3_metre_springboard,bronze,https://en.wikipedia.org/wiki/Aleksandr_Kosenkov,https://en.wikipedia.org/wiki/Soviet_Union_at_the_1976_Summer_Olympics,Q4715228,Q4000225,Q1916069
https://en.wikipedia.org/wiki/Diving_at_the_1976_Summer_Olympics_%E2%80%93_Men%27s_10_metre_platform,gold,https://en.wikipedia.org/wiki/Klaus_Dibiasi,https://en.wikipedia.org/wiki/Italy_at_the_1976_Summer_Olympics,Q536803,Q4000224,Q962984
https://en.wikipedia.org/wiki/Diving_at_the_1976_Summer_Olympics_%E2%80%93_Men%27s_10_metre_platform,silver,https://en.wikipedia.org/wiki/Greg_Louganis,https://en.wikipedia.org/wiki/United_States_at_the_1976_Summer_Olympics,Q311332,Q4000224,Q2433247
https://en.wikipedia.org/wiki/Diving_at_the_1976_Summer_Olympics_%E2%80%93_Men%27s_10_metre_platform,bronze,https://en.wikipedia.org/wiki/Vladimir_Aleynik,https://en.wikipedia.org/wiki/Soviet_Union_at_the_1976_Summer_Olympics,Q2587353,Q4000224,Q1916069
https://en.wikipedia.org/wiki/Diving_at_the_1976_Summer_Olympics_%E2%80%93_Women%27s_3_metre_springboard,gold,https://en.wikipedia.org/wiki/Jennifer_Chandler,https://en.wikipedia.org/wiki/United_States_at_the_1976_Summer_Olympics,Q1686934,Q4000221,Q2433247
https://en.wikipedia.org/wiki/Diving_at_the_1976_Summer_Olympics_%E2%80%93_Women%27s_3_metre_springboard,silver,https://en.wikipedia.org/wiki/Christa_K%C3%B6hler,https://en.wikipedia.org/wiki/East_Germany_at_the_1976_Summer_Olympics,Q1078101,Q4000221,Q564308
https://en.wikipedia.org/wiki/Diving_at_the_1976_Summer_Olympics_%E2%80%93_Women%27s_3_metre_springboard,bronze,https://en.wikipedia.org/wiki/Cynthia_Potter,https://en.wikipedia.org/wiki/United_States_at_the_1976_Summer_Olympics,Q5200148,Q4000221,Q2433247
https://en.wikipedia.org/wiki/Diving_at_the_1976_Summer_Olympics_%E2%80%93_Women%27s_10_metre_platform,gold,https://en.wikipedia.org/wiki/Elena_Vaytsekhovskaya,https://en.wikipedia.org/wiki/Soviet_Union_at_the_1976_Summer_Olympics,Q525643,Q4000222,Q1916069
https://en.wikipedia.org/wiki/Diving_at_the_1976_Summer_Olympics_%E2%80%93_Women%27s_10_metre_platform,silver,https://en.wikipedia.org/wiki/Ulrika_Knape,https://en.wikipedia.org/wiki/Sweden_at_the_1976_Summer_Olympics,Q510316,Q4000222,Q4128806
https://en.wikipedia.org/wiki/Diving_at_the_1976_Summer_Olympics_%E2%80%93_Women%27s_10_metre_platform,bronze,https://en.wikipedia.org/wiki/Deborah_Wilson,https://en.wikipedia.org/wiki/United_States_at_the_1976_Summer_Olympics,Q45023041,Q4000222,Q2433247
https://en.wikipedia.org/wiki/Swimming_at_the_1976_Summer_Olympics_%E2%80%93_Men%27s_100_metre_freestyle,gold,https://en.wikipedia.org/wiki/Jim_Montgomery_(swimmer),https://en.wikipedia.org/wiki/United_States_at_the_1976_Summer_Olympics,Q626152,Q7656551,Q2433247
https://en.wikipedia.org/wiki/Swimming_at_the_1976_Summer_Olympics_%E2%80%93_Men%27s_100_metre_freestyle,silver,https://en.wikipedia.org/wiki/Jack_Babashoff,https://en.wikipedia.org/wiki/United_States_at_the_1976_Summer_Olympics,Q1676968,Q7656551,Q2433247
https://en.wikipedia.org/wiki/Swimming_at_the_1976_Summer_Olympics_%E2%80%93_Men%27s_100_metre_freestyle,bronze,https://en.wikipedia.org/wiki/Peter_Nocke,https://en.wikipedia.org/wiki/West_Germany_at_the_1976_Summer_Olympics,Q87050,Q7656551,Q150372
https://en.wikipedia.org/wiki/Swimming_at_the_1976_Summer_Olympics_%E2%80%93_Men%27s_200_metre_freestyle,gold,https://en.wikipedia.org/wiki/Bruce_Furniss,https://en.wikipedia.org/wiki/United_States_at_the_1976_Summer_Olympics,Q991648,Q17109442,Q2433247
https://en.wikipedia.org/wiki/Swimming_at_the_1976_Summer_Olympics_%E2%80%93_Men%27s_200_metre_freestyle,silver,https://en.wikipedia.org/wiki/John_Naber,https://en.wikipedia.org/wiki/United_States_at_the_1976_Summer_Olympics,Q436198,Q17109442,Q2433247
