event_link,medal,medalist_link,delegation_link,medalist_wikidata_id,event_wikidata_id,delegation_wikidata_id
https://en.wikipedia.org/wiki/Athletics_at_the_1964_Summer_Olympics_%E2%80%93_Men%27s_100_metres,gold,https://en.wikipedia.org/wiki/Bob_Hayes,https://en.wikipedia.org/wiki/United_States_at_the_1964_Summer_Olympics,Q505289,Q3628477,Q3116585
https://en.wikipedia.org/wiki/Athletics_at_the_1964_Summer_Olympics_%E2%80%93_Men%27s_100_metres,silver,https://en.wikipedia.org/wiki/Enrique_Figuerola,https://en.wikipedia.org/wiki/Cuba_at_the_1964_Summer_Olympics,Q589589,Q3628477,Q2613910
https://en.wikipedia.org/wiki/Athletics_at_the_1964_Summer_Olympics_%E2%80%93_Men%27s_100_metres,bronze,https://en.wikipedia.org/wiki/Harry_Jerome,https://en.wikipedia.org/wiki/Canada_at_the_1964_Summer_Olympics,Q596560,Q3628477,Q1151906
https://en.wikipedia.org/wiki/Athletics_at_the_1964_Summer_Olympics_%E2%80%93_Men%27s_200_metres,gold,https://en.wikipedia.org/wiki/Henry_Carr,https://en.wikipedia.org/wiki/United_States_at_the_1964_Summer_Olympics,Q558634,Q3628481,Q3116585
https://en.wikipedia.org/wiki/Athletics_at_the_1964_Summer_Olympics_%E2%80%93_Men%27s_200_metres,silver,https://en.wikipedia.org/wiki/Paul_Drayton_(athlete),https://en.wikipedia.org/wiki/United_States_at_the_1964_Summer_Olympics,Q202633,Q3628481,Q3116585
https://en.wikipedia.org/wiki/Athletics_at_the_1964_Summer_Olympics_%E2%80%93_Men%27s_200_metres,bronze,https://en.wikipedia.org/wiki/Edwin_Roberts,https://en.wikipedia.org/wiki/Trinidad_and_Tobago_at_the_1964_Summer_Olympics,Q705105,Q3628481,Q143836
https://en.wikipedia.org/wiki/Athletics_at_the_1964_Summer_Olympics_%E2%80%93_Men%27s_400_metres,gold,https://en.wikipedia.org/wiki/Mike_Larrabee,https://en.wikipedia.org/wiki/United_States_at_the_1964_Summer_Olympics,Q608796,Q3628485,Q3116585
https://en.wikipedia.org/wiki/Athletics_at_the_1964_Summer_Olympics_%E2%80%93_Men%27s_400_metres,silver,https://en.wikipedia.org/wiki/Wendell_Mottley,https://en.wikipedia.org/wiki/Trinidad_and_Tobago_at_the_1964_Summer_Olympics,Q705095,Q3628485,Q143836
https://en.wikipedia.org/wiki/Athletics_at_the_1964_Summer_Olympics_%E2%80%93_Men%27s_400_metres,bronze,https://en.wikipedia.org/wiki/Andrzej_Bade%C5%84ski,https://en.wikipedia.org/wiki/Poland_at_the_1964_Summer_Olympics,Q514755,Q3628485,Q2419188
https://en.wikipedia.org/wiki/Athletics_at_the_1964_Summer_Olympics_%E2%80%93_Men%27s_800_metres,gold,https://en.wikipedia.org/wiki/Peter_Snell,https://en.wikipedia.org/wiki/New_Zealand_at_the_1964_Summer_Olympics,Q52659,Q3628488,Q146955
https://en.wikipedia.org/wiki/Athletics_at_the_1964_Summer_Olympics_%E2%80%93_Men%27s_800_metres,silver,https://en.wikipedia.org/wiki/Bill_Crothers,https://en.wikipedia.org/wiki/Canada_at_the_1964_Summer_Olympics,Q522904,Q3628488,Q1151906
