event_link,medal,medalist_link,delegation_link,medalist_wikidata_id,event_wikidata_id,delegation_wikidata_id
https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_100_metres,gold,https://en.wikipedia.org/wiki/Armin_Hary,https://en.wikipedia.org/wiki/United_Team_of_Germany_at_the_1960_Summer_Olympics,Q57678,Q3628510,Q2057291
https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_100_metres,silver,https://en.wikipedia.org/wiki/Dave_Sime,https://en.wikipedia.org/wiki/United_States_at_the_1960_Summer_Olympics,Q321940,Q3628510,Q2078654
https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_100_metres,bronze,https://en.wikipedia.org/wiki/Peter_Radford,https://en.wikipedia.org/wiki/Great_Britain_at_the_1960_Summer_Olympics,Q1347587,Q3628510,Q2618201
https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_200_metres,gold,https://en.wikipedia.org/wiki/Livio_Berruti,https://en.wikipedia.org/wiki/Italy_at_the_1960_Summer_Olympics,Q8318,Q3628515,Q2732331
https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_200_metres,silver,https://en.wikipedia.org/wiki/Lester_Carney,https://en.wikipedia.org/wiki/United_States_at_the_1960_Summer_Olympics,Q1393664,Q3628515,Q2078654
https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_200_metres,bronze,https://en.wikipedia.org/wiki/Abdoulaye_Seye,https://en.wikipedia.org/wiki/France_at_the_1960_Summer_Olympics,Q308412,Q3628515,Q2106560
https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_400_metres,gold,https://en.wikipedia.org/wiki/Otis_Davis,https://en.wikipedia.org/wiki/United_States_at_the_1960_Summer_Olympics,Q711402,Q3628518,Q2078654
https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_400_metres,silver,https://en.wikipedia.org/wiki/Carl_Kaufmann,https://en.wikipedia.org/wiki/United_Team_of_Germany_at_the_1960_Summer_Olympics,Q530351,Q3628518,Q2057291
https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_400_metres,bronze,https://en.wikipedia.org/wiki/Malcolm_Spence_(South_African_athlete),https://en.wikipedia.org/wiki/South_Africa_at_the_1960_Summer_Olympics,Q516874,Q3628518,Q2666950
https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_800_metres,gold,https://en.wikipedia.org/wiki/Peter_Snell,https://en.wikipedia.org/wiki/New_Zealand_at_the_1960_Summer_Olympics,Q52659,Q3628521,Q144957
https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_800_metres,silver,https://en.wikipedia.org/wiki/Roger_Moens,https://en.wikipedia.org/wiki/Belgium_at_the_1960_Summer_Olympics,Q1398791,Q3628521,Q2230615
https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_800_metres,bronze,https://en.wikipedia.org/wiki/George_Kerr_(athlete),https://en.wikipedia.org/wiki/British_West_Indies_at_the_1960_Summer_Olympics,Q927971,Q3628521,Q140310
https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_1500_metres,gold,https://en.wikipedia.org/wiki/Herb_Elliott,https://en.wikipedia.org/wiki/Australia_at_the_1960_Summer_Olympics,Q472503,Q3628513,Q144784
https://en.wikipedia.org/wiki/Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Men%27s_1500_metres,silver,https://en.wikipedia.org/wiki/Michel_Jazy,https://en.wikipedia.org/wiki/France_at_the_1960_Summer_Olympics,Q1385699,Q3628513,Q2106560
