event_link,medal,medalist_link,delegation_link,medalist_wikidata_id,event_wikidata_id,delegation_wikidata_id
https://en.wikipedia.org/wiki/Archery_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_individual,gold,https://en.wikipedia.org/wiki/Kim_Woo-jin_(archer),https://en.wikipedia.org/wiki/South_Korea_at_the_2024_Summer_Olympics,Q11739253,Q117156626,Q114753595
https://en.wikipedia.org/wiki/Archery_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_individual,silver,https://en.wikipedia.org/wiki/Brady_Ellison,https://en.wikipedia.org/wiki/United_States_at_the_2024_Summer_Olympics,Q1156472,Q117156626,Q113581713
https://en.wikipedia.org/wiki/Archery_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_individual,bronze,https://en.wikipedia.org/wiki/Lee_Woo-seok,https://en.wikipedia.org/wiki/South_Korea_at_the_2024_Summer_Olympics,Q18001487,Q117156626,Q114753595
https://en.wikipedia.org/wiki/Archery_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_team,gold,https://en.wikipedia.org/wiki/Kim_Je-deok,https://en.wikipedia.org/wiki/South_Korea_at_the_2024_Summer_Olympics,Q107619893,Q117156627,Q114753595
https://en.wikipedia.org/wiki/Archery_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_team,gold,https://en.wikipedia.org/wiki/Kim_Woo-jin_(archer),https://en.wikipedia.org/wiki/South_Korea_at_the_2024_Summer_Olympics,Q11739253,Q117156627,Q114753595
https://en.wikipedia.org/wiki/Archery_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_team,gold,https://en.wikipedia.org/wiki/Lee_Woo-seok,https://en.wikipedia.org/wiki/South_Korea_at_the_2024_Summer_Olympics,Q18001487,Q117156627,Q114753595
https://en.wikipedia.org/wiki/Archery_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_team,silver,https://en.wikipedia.org/wiki/Baptiste_Addis,https://en.wikipedia.org/wiki/France_at_the_2024_Summer_Olympics,Q125903239,Q117156627,Q114244785
https://en.wikipedia.org/wiki/Archery_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_team,silver,https://en.wikipedia.org/wiki/Thomas_Chirault,https://en.wikipedia.org/wiki/France_at_the_2024_Summer_Olympics,Q42361291,Q117156627,Q114244785
https://en.wikipedia.org/wiki/Archery_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_team,silver,https://en.wikipedia.org/wiki/Jean-Charles_Valladont,https://en.wikipedia.org/wiki/France_at_the_2024_Summer_Olympics,Q3164706,Q117156627,Q114244785
https://en.wikipedia.org/wiki/Archery_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_team,bronze,https://en.wikipedia.org/wiki/Mete_Gazoz,https://en.wikipedia.org/wiki/Turkey_at_the_2024_Summer_Olympics,Q20988356,Q117156627,Q116778664
