event_link,medal,medalist_link,delegation_link,medalist_wikidata_id,event_wikidata_id,delegation_wikidata_id
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_individual,gold,https://en.wikipedia.org/wiki/Simon_Fairweather,https://en.wikipedia.org/wiki/Australia_at_the_2000_Summer_Olympics,Q391178,Q4786054,Q150424
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_individual,silver,https://en.wikipedia.org/wiki/Vic_Wunderle,https://en.wikipedia.org/wiki/United_States_at_the_2000_Summer_Olympics,Q2313816,Q4786054,Q2370073
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_individual,bronze,https://en.wikipedia.org/wiki/Wietse_van_Alten,https://en.wikipedia.org/wiki/Netherlands_at_the_2000_Summer_Olympics,Q1934061,Q4786054,Q795076
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_team,gold,https://en.wikipedia.org/wiki/Jang_Yong-Ho,https://en.wikipedia.org/wiki/South_Korea_at_the_2000_Summer_Olympics,Q495002,Q4786058,Q485880
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_team,gold,https://en.wikipedia.org/wiki/Kim_Chung-tae_(archer),https://en.wikipedia.org/wiki/South_Korea_at_the_2000_Summer_Olympics,Q3196693,Q4786058,Q485880
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_team,gold,https://en.wikipedia.org/wiki/Oh_Kyo-Moon,https://en.wikipedia.org/wiki/South_Korea_at_the_2000_Summer_Olympics,Q3349868,Q4786058,Q485880
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_team,silver,https://en.wikipedia.org/wiki/Matteo_Bisiani,https://en.wikipedia.org/wiki/Italy_at_the_2000_Summer_Olympics,Q932697,Q4786058,Q2445334
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_team,silver,https://en.wikipedia.org/wiki/Ilario_Di_Bu%C3%B2,https://en.wikipedia.org/wiki/Italy_at_the_2000_Summer_Olympics,Q429266,Q4786058,Q2445334
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_team,silver,https://en.wikipedia.org/wiki/Michele_Frangilli,https://en.wikipedia.org/wiki/Italy_at_the_2000_Summer_Olympics,Q516109,Q4786058,Q2445334
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_team,bronze,https://en.wikipedia.org/wiki/Butch_Johnson,https://en.wikipedia.org/wiki/United_States_at_the_2000_Summer_Olympics,Q2669744,Q4786058,Q2370073
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_team,bronze,https://en.wikipedia.org/wiki/Rod_White,https://en.wikipedia.org/wiki/United_States_at_the_2000_Summer_Olympics,Q3071810,Q4786058,Q2370073
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_team,bronze,https://en.wikipedia.org/wiki/Vic_Wunderle,https://en.wikipedia.org/wiki/United_States_at_the_2000_Summer_Olympics,Q2313816,Q4786058,Q2370073
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_individual,gold,https://en.wikipedia.org/wiki/Yun_Mi-Jin,https://en.wikipedia.org/wiki/South_Korea_at_the_2000_Summer_Olympics,Q258314,Q2328217,Q485880
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_individual,silver,https://en.wikipedia.org/wiki/Kim_Nam-Soon,https://en.wikipedia.org/wiki/South_Korea_at_the_2000_Summer_Olympics,Q3043124,Q2328217,Q485880
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_individual,bronze,https://en.wikipedia.org/wiki/Kim_Soo-Nyung,https://en.wikipedia.org/wiki/South_Korea_at_the_2000_Summer_Olympics,Q239901,Q2328217,Q485880
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_team,gold,https://en.wikipedia.org/wiki/Kim_Nam-Soon,https://en.wikipedia.org/wiki/South_Korea_at_the_2000_Summer_Olympics,Q3043124,Q579346,Q485880
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_team,gold,https://en.wikipedia.org/wiki/Kim_Soo-Nyung,https://en.wikipedia.org/wiki/South_Korea_at_the_2000_Summer_Olympics,Q239901,Q579346,Q485880
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_team,gold,https://en.wikipedia.org/wiki/Yun_Mi-Jin,https://en.wikipedia.org/wiki/South_Korea_at_the_2000_Summer_Olympics,Q258314,Q579346,Q485880
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_team,silver,https://en.wikipedia.org/wiki/Nataliya_Burdeyna,https://en.wikipedia.org/wiki/Ukraine_at_the_2000_Summer_Olympics,Q468171,Q579346,Q1076807
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_team,silver,https://en.wikipedia.org/wiki/Olena_Sadovnycha,https://en.wikipedia.org/wiki/Ukraine_at_the_2000_Summer_Olympics,Q458447,Q579346,Q1076807
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_team,silver,https://en.wikipedia.org/wiki/Kateryna_Serdyuk_(archer),https://en.wikipedia.org/wiki/Ukraine_at_the_2000_Summer_Olympics,Q461501,Q579346,Q1076807
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_team,bronze,https://en.wikipedia.org/wiki/Barbara_Mensing,https://en.wikipedia.org/wiki/Germany_at_the_2000_Summer_Olympics,Q70750,Q579346,Q148380
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_team,bronze,https://en.wikipedia.org/wiki/Cornelia_Pfohl,https://en.wikipedia.org/wiki/Germany_at_the_2000_Summer_Olympics,Q68196,Q579346,Q148380
https://en.wikipedia.org/wiki/Archery_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_team,bronze,https://en.wikipedia.org/wiki/Sandra_Wagner-Sachse,https://en.wikipedia.org/wiki/Germany_at_the_2000_Summer_Olympics,Q71527,Q579346,Q148380
https://en.wikipedia.org/wiki/Athletics_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_100_metres,gold,https://en.wikipedia.org/wiki/Maurice_Greene_(sprinter),https://en.wikipedia.org/wiki/United_States_at_the_2000_Summer_Olympics,Q296309,Q1426702,Q2370073
https://en.wikipedia.org/wiki/Athletics_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_100_metres,silver,https://en.wikipedia.org/wiki/Ato_Boldon,https://en.wikipedia.org/wiki/Trinidad_and_Tobago_at_the_2000_Summer_Olympics,Q311366,Q1426702,Q141294
https://en.wikipedia.org/wiki/Athletics_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_100_metres,bronze,https://en.wikipedia.org/wiki/Obadele_Thompson,https://en.wikipedia.org/wiki/Barbados_at_the_2000_Summer_Olympics,Q366517,Q1426702,Q143412
https://en.wikipedia.org/wiki/Athletics_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_200_metres,gold,https://en.wikipedia.org/wiki/Konstantinos_Kenteris,https://en.wikipedia.org/wiki/Greece_at_the_2000_Summer_Olympics,Q440297,Q3628764,Q1031703
https://en.wikipedia.org/wiki/Athletics_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_200_metres,silver,https://en.wikipedia.org/wiki/Darren_Campbell,https://en.wikipedia.org/wiki/Great_Britain_at_the_2000_Summer_Olympics,Q549013,Q3628764,Q143849
https://en.wikipedia.org/wiki/Athletics_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_200_metres,bronze,https://en.wikipedia.org/wiki/Ato_Boldon,https://en.wikipedia.org/wiki/Trinidad_and_Tobago_at_the_2000_Summer_Olympics,Q311366,Q3628764,Q141294
https://en.wikipedia.org/wiki/Athletics_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_400_metres,gold,https://en.wikipedia.org/wiki/Michael_Johnson_(sprinter),https://en.wikipedia.org/wiki/United_States_at_the_2000_Summer_Olympics,Q190924,Q3628768,Q2370073
https://en.wikipedia.org/wiki/Athletics_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_400_metres,silver,https://en.wikipedia.org/wiki/Alvin_Harrison,https://en.wikipedia.org/wiki/United_States_at_the_2000_Summer_Olympics,Q449125,Q3628768,Q2370073
https://en.wikipedia.org/wiki/Athletics_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_400_metres,bronze,https://en.wikipedia.org/wiki/Greg_Haughton,https://en.wikipedia.org/wiki/Jamaica_at_the_2000_Summer_Olympics,Q941164,Q3628768,Q142753
https://en.wikipedia.org/wiki/Athletics_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_800_metres,gold,https://en.wikipedia.org/wiki/Nils_Schumann,https://en.wikipedia.org/wiki/Germany_at_the_2000_Summer_Olympics,Q455272,Q3628773,Q148380
https://en.wikipedia.org/wiki/Athletics_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_800_metres,silver,https://en.wikipedia.org/wiki/Wilson_Kipketer,https://en.wikipedia.org/wiki/Denmark_at_the_2000_Summer_Olympics,Q309956,Q3628773,Q2580854
https://en.wikipedia.org/wiki/Athletics_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_800_metres,bronze,https://en.wikipedia.org/wiki/Djabir_Sa%C3%AFd-Guerni,https://en.wikipedia.org/wiki/Algeria_at_the_2000_Summer_Olympics,Q446150,Q3628773,Q141890
https://en.wikipedia.org/wiki/Athletics_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_1500_metres,gold,https://en.wikipedia.org/wiki/Noah_Ngeny,https://en.wikipedia.org/wiki/Kenya_at_the_2000_Summer_Olympics,Q334050,Q3628761,Q1093933
https://en.wikipedia.org/wiki/Athletics_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_1500_metres,silver,https://en.wikipedia.org/wiki/Hicham_El_Guerrouj,https://en.wikipedia.org/wiki/Morocco_at_the_2000_Summer_Olympics,Q83905,Q3628761,Q1165576
https://en.wikipedia.org/wiki/Athletics_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_1500_metres,bronze,https://en.wikipedia.org/wiki/Bernard_Lagat,https://en.wikipedia.org/wiki/Kenya_at_the_2000_Summer_Olympics,Q312654,Q3628761,Q1093933
https://en.wikipedia.org/wiki/Athletics_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_5000_metres,gold,https://en.wikipedia.org/wiki/Million_Wolde,https://en.wikipedia.org/wiki/Ethiopia_at_the_2000_Summer_Olympics,Q355508,Q3628770,Q992126
