event_link,medal,medalist_link,delegation_link,medalist_wikidata_id,event_wikidata_id,delegation_wikidata_id
https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres,gold,https://en.wikipedia.org/wiki/Usain_Bolt,https://en.wikipedia.org/wiki/Jamaica_at_the_2012_Summer_Olympics,Q1189,Q734020,Q142027
https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres,silver,https://en.wikipedia.org/wiki/Yohan_Blake,https://en.wikipedia.org/wiki/Jamaica_at_the_2012_Summer_Olympics,Q1651,Q734020,Q142027
https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres,bronze,https://en.wikipedia.org/wiki/Justin_Gatlin,https://en.wikipedia.org/wiki/United_States_at_the_2012_Summer_Olympics,Q1652,Q734020,Q139623
https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_200_metres,gold,https://en.wikipedia.org/wiki/Usain_Bolt,https://en.wikipedia.org/wiki/Jamaica_at_the_2012_Summer_Olympics,Q1189,Q1649415,Q142027
https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_200_metres,silver,https://en.wikipedia.org/wiki/Yohan_Blake,https://en.wikipedia.org/wiki/Jamaica_at_the_2012_Summer_Olympics,Q1651,Q1649415,Q142027
https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_200_metres,bronze,https://en.wikipedia.org/wiki/Warren_Weir,https://en.wikipedia.org/wiki/Jamaica_at_the_2012_Summer_Olympics,Q1654,Q1649415,Q142027
https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_400_metres,gold,https://en.wikipedia.org/wiki/Kirani_James,https://en.wikipedia.org/wiki/Grenada_at_the_2012_Summer_Olympics,Q1655,Q1636766,Q140574
https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_400_metres,silver,https://en.wikipedia.org/wiki/Luguel%C3%ADn_Santos,https://en.wikipedia.org/wiki/Dominican_Republic_at_the_2012_Summer_Olympics,Q1656,Q1636766,Q141133
https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_400_metres,bronze,https://en.wikipedia.org/wiki/Lalonde_Gordon,https://en.wikipedia.org/wiki/Trinidad_and_Tobago_at_the_2012_Summer_Olympics,Q1657,Q1636766,Q140890
https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_800_metres,gold,https://en.wikipedia.org/wiki/David_Rudisha,https://en.wikipedia.org/wiki/Kenya_at_the_2012_Summer_Olympics,Q1659,Q1049551,Q140514
