event_link,medal,medalist_link,delegation_link,medalist_wikidata_id,event_wikidata_id,delegation_wikidata_id
https://en.wikipedia.org/wiki/Diving_at_the_1996_Summer_Olympics_%E2%80%93_Men%27s_3_metre_springboard,gold,https://en.wikipedia.org/wiki/Xiong_Ni,https://en.wikipedia.org/wiki/China_at_the_1996_Summer_Olympics,Q931115,Q4000243,Q148346
https://en.wikipedia.org/wiki/Diving_at_the_1996_Summer_Olympics_%E2%80%93_Men%27s_3_metre_springboard,silver,https://en.wikipedia.org/wiki/Yu_Zhuocheng,https://en.wikipedia.org/wiki/China_at_the_1996_Summer_Olympics,Q1304315,Q4000243,Q148346
https://en.wikipedia.org/wiki/Diving_at_the_1996_Summer_Olympics_%E2%80%93_Men%27s_3_metre_springboard,bronze,https://en.wikipedia.org/wiki/Mark_Lenzi,https://en.wikipedia.org/wiki/United_States_at_the_1996_Summer_Olympics,Q252147,Q4000243,Q147927
https://en.wikipedia.org/wiki/Diving_at_the_1996_Summer_Olympics_%E2%80%93_Women%27s_3_metre_springboard,gold,https://en.wikipedia.org/wiki/Fu_Mingxia,https://en.wikipedia.org/wiki/China_at_the_1996_Summer_Olympics,Q234415,Q4000242,Q148346
https://en.wikipedia.org/wiki/Diving_at_the_1996_Summer_Olympics_%E2%80%93_Women%27s_3_metre_springboard,silver,https://en.wikipedia.org/wiki/Irina_Lashko,https://en.wikipedia.org/wiki/Russia_at_the_1996_Summer_Olympics,Q459546,Q4000242,Q142861
https://en.wikipedia.org/wiki/Diving_at_the_1996_Summer_Olympics_%E2%80%93_Women%27s_3_metre_springboard,bronze,https://en.wikipedia.org/wiki/Annie_Pelletier,https://en.wikipedia.org/wiki/Canada_at_the_1996_Summer_Olympics,Q512516,Q4000242,Q148040
https://en.wikipedia.org/wiki/Diving_at_the_1996_Summer_Olympics_%E2%80%93_Men%27s_10_metre_platform,gold,https://en.wikipedia.org/wiki/Dmitri_Sautin,https://en.wikipedia.org/wiki/Russia_at_the_1996_Summer_Olympics,Q555752,Q4000239,Q142861
https://en.wikipedia.org/wiki/Diving_at_the_1996_Summer_Olympics_%E2%80%93_Men%27s_10_metre_platform,silver,https://en.wikipedia.org/wiki/Jan_Hempel,https://en.wikipedia.org/wiki/Germany_at_the_1996_Summer_Olympics,Q96834,Q4000239,Q148162
https://en.wikipedia.org/wiki/Diving_at_the_1996_Summer_Olympics_%E2%80%93_Men%27s_10_metre_platform,bronze,https://en.wikipedia.org/wiki/Xiao_Hailiang,https://en.wikipedia.org/wiki/China_at_the_1996_Summer_Olympics,Q542205,Q4000239,Q148346
https://en.wikipedia.org/wiki/Diving_at_the_1996_Summer_Olympics_%E2%80%93_Women%27s_10_metre_platform,gold,https://en.wikipedia.org/wiki/Fu_Mingxia,https://en.wikipedia.org/wiki/China_at_the_1996_Summer_Olympics,Q234415,Q1112396,Q148346
https://en.wikipedia.org/wiki/Diving_at_the_1996_Summer_Olympics_%E2%80%93_Women%27s_10_metre_platform,silver,https://en.wikipedia.org/wiki/Annika_Walter,https://en.wikipedia.org/wiki/Germany_at_the_1996_Summer_Olympics,Q546797,Q1112396,Q148162
https://en.wikipedia.org/wiki/Diving_at_the_1996_Summer_Olympics_%E2%80%93_Women%27s_10_metre_platform,bronze,https://en.wikipedia.org/wiki/Mary_Ellen_Clark,https://en.wikipedia.org/wiki/United_States_at_the_1996_Summer_Olympics,Q1906251,Q1112396,Q147927
https://en.wikipedia.org/wiki/Swimming_at_the_1996_Summer_Olympics_%E2%80%93_Men%27s_50_metre_freestyle,gold,https://en.wikipedia.org/wiki/Alexander_Popov_(swimmer),https://en.wikipedia.org/wiki/Russia_at_the_1996_Summer_Olympics,Q294676,Q3879634,Q142861
https://en.wikipedia.org/wiki/Swimming_at_the_1996_Summer_Olympics_%E2%80%93_Men%27s_50_metre_freestyle,silver,https://en.wikipedia.org/wiki/Gary_Hall_Jr.,https://en.wikipedia.org/wiki/United_States_at_the_1996_Summer_Olympics,Q353966,Q3879634,Q147927
