event_link,medal,medalist_link,delegation_link,medalist_wikidata_id,event_wikidata_id,delegation_wikidata_id
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_100_metres,gold,https://en.wikipedia.org/wiki/Harrison_Dillard,https://en.wikipedia.org/wiki/United_States_at_the_1948_Summer_Olympics,Q436139,Q3628383,Q2198277
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_100_metres,silver,https://en.wikipedia.org/wiki/Barney_Ewell,https://en.wikipedia.org/wiki/United_States_at_the_1948_Summer_Olympics,Q808481,Q3628383,Q2198277
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_100_metres,bronze,https://en.wikipedia.org/wiki/Lloyd_La_Beach,https://en.wikipedia.org/wiki/Panama_at_the_1948_Summer_Olympics,Q703312,Q3628383,Q144263
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Women%27s_100_metres,gold,https://en.wikipedia.org/wiki/Fanny_Blankers-Koen,https://en.wikipedia.org/wiki/Netherlands_at_the_1948_Summer_Olympics,Q229046,Q3628380,Q888579
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Women%27s_100_metres,silver,https://en.wikipedia.org/wiki/Dorothy_Manley,https://en.wikipedia.org/wiki/Great_Britain_at_the_1948_Summer_Olympics,Q451325,Q3628380,Q1960430
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Women%27s_100_metres,bronze,https://en.wikipedia.org/wiki/Shirley_Strickland_de_la_Hunty,https://en.wikipedia.org/wiki/Australia_at_the_1948_Summer_Olympics,Q230954,Q3628380,Q143346
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_200_metres,gold,https://en.wikipedia.org/wiki/Mel_Patton,https://en.wikipedia.org/wiki/United_States_at_the_1948_Summer_Olympics,Q919830,Q3628386,Q2198277
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_200_metres,silver,https://en.wikipedia.org/wiki/Barney_Ewell,https://en.wikipedia.org/wiki/United_States_at_the_1948_Summer_Olympics,Q808481,Q3628386,Q2198277
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_200_metres,bronze,https://en.wikipedia.org/wiki/Lloyd_La_Beach,https://en.wikipedia.org/wiki/Panama_at_the_1948_Summer_Olympics,Q703312,Q3628386,Q144263
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Women%27s_200_metres,gold,https://en.wikipedia.org/wiki/Fanny_Blankers-Koen,https://en.wikipedia.org/wiki/Netherlands_at_the_1948_Summer_Olympics,Q229046,Q3628384,Q888579
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Women%27s_200_metres,silver,https://en.wikipedia.org/wiki/Audrey_Williamson,https://en.wikipedia.org/wiki/Great_Britain_at_the_1948_Summer_Olympics,Q119819,Q3628384,Q1960430
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Women%27s_200_metres,bronze,https://en.wikipedia.org/wiki/Audrey_Patterson,https://en.wikipedia.org/wiki/United_States_at_the_1948_Summer_Olympics,Q462939,Q3628384,Q2198277
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_400_metres,gold,https://en.wikipedia.org/wiki/Arthur_Wint,https://en.wikipedia.org/wiki/Jamaica_at_the_1948_Summer_Olympics,Q434100,Q3628388,Q145131
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_400_metres,silver,https://en.wikipedia.org/wiki/Herb_McKenley,https://en.wikipedia.org/wiki/Jamaica_at_the_1948_Summer_Olympics,Q158734,Q3628388,Q145131
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_400_metres,bronze,https://en.wikipedia.org/wiki/Mal_Whitfield,https://en.wikipedia.org/wiki/United_States_at_the_1948_Summer_Olympics,Q504643,Q3628388,Q2198277
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_800_metres,gold,https://en.wikipedia.org/wiki/Mal_Whitfield,https://en.wikipedia.org/wiki/United_States_at_the_1948_Summer_Olympics,Q504643,Q3628391,Q2198277
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_800_metres,silver,https://en.wikipedia.org/wiki/Arthur_Wint,https://en.wikipedia.org/wiki/Jamaica_at_the_1948_Summer_Olympics,Q434100,Q3628391,Q145131
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_800_metres,bronze,https://en.wikipedia.org/wiki/Marcel_Hansenne,https://en.wikipedia.org/wiki/France_at_the_1948_Summer_Olympics,Q1377072,Q3628391,Q1924622
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_1500_metres,gold,https://en.wikipedia.org/wiki/Henry_Eriksson,https://en.wikipedia.org/wiki/Sweden_at_the_1948_Summer_Olympics,Q958508,Q3628385,Q2096767
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_1500_metres,silver,https://en.wikipedia.org/wiki/Lennart_Strand,https://en.wikipedia.org/wiki/Sweden_at_the_1948_Summer_Olympics,Q959771,Q3628385,Q2096767
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_1500_metres,bronze,https://en.wikipedia.org/wiki/Wim_Slijkhuis,https://en.wikipedia.org/wiki/Netherlands_at_the_1948_Summer_Olympics,Q1352440,Q3628385,Q888579
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_5000_metres,gold,https://en.wikipedia.org/wiki/Gaston_Reiff,https://en.wikipedia.org/wiki/Belgium_at_the_1948_Summer_Olympics,Q558465,Q3628389,Q592430
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_5000_metres,silver,https://en.wikipedia.org/wiki/Emil_Z%C3%A1topek,https://en.wikipedia.org/wiki/Czechoslovakia_at_the_1948_Summer_Olympics,Q52589,Q3628389,Q1904417
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_5000_metres,bronze,https://en.wikipedia.org/wiki/Wim_Slijkhuis,https://en.wikipedia.org/wiki/Netherlands_at_the_1948_Summer_Olympics,Q1352440,Q3628389,Q888579
"https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres",gold,https://en.wikipedia.org/wiki/Emil_Z%C3%A1topek,https://en.wikipedia.org/wiki/Czechoslovakia_at_the_1948_Summer_Olympics,Q52589,Q3628379,Q1904417
"https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres",silver,https://en.wikipedia.org/wiki/Alain_Mimoun,https://en.wikipedia.org/wiki/France_at_the_1948_Summer_Olympics,Q435068,Q3628379,Q1924622
"https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres",bronze,https://en.wikipedia.org/wiki/Bertil_Albertsson,https://en.wikipedia.org/wiki/Sweden_at_the_1948_Summer_Olympics,Q370075,Q3628379,Q2096767
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_110_metres_hurdles,gold,https://en.wikipedia.org/wiki/William_Porter_(athlete),https://en.wikipedia.org/wiki/United_States_at_the_1948_Summer_Olympics,Q944543,Q3628382,Q2198277
https://en.wikipedia.org/wiki/Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men%27s_110_metres_hurdles,silver,https://en.wikipedia.org/wiki/Clyde_Scott,https://en.wikipedia.org/wiki/United_States_at_the_1948_Summer_Olympics,Q978227,Q3628382,Q2198277
