nuts2_id,nuts2_name,country,medals,nuts2_population,medals_per_million_residents
DK02,Sjælland,Denmark,10,849857,11.76668545414111
FRY1,Guadeloupe,France,4,410013,9.755788231104868
RS12,Autonomous Province of Vojvodina,Serbia,16,1738651,9.202536909362488
HR05,Grad Zagreb,Croatia,7,768624,9.10718374653927
HU11,Budapest,Hungary,14,1671004,8.378196581217042
RS11,City of Belgrade,Serbia,14,1683033,8.318315802482779
ME00,Crna Gora,Montenegro,5,616695,8.1077355905269215
DK01,Hovedstaden,Denmark,13,1891871,6.871504452470596
NO09,Agder og Sør-Østlandet,Norway,5,745152,6.7100403676028515
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,Belgium,8,1253178,6.383769903397602
HR03,Jadranska Hrvatska,Croatia,8,1297987,6.1633899260932505
HU23,Dél-Dunántúl,Hungary,5,858675,5.822924855154744
DE60,Hamburg,Germany,11,1892122,5.813578617023638
FRY2,Martinique ,France,2,353444,5.65860504068537
ITH1,Provincia Autonoma di Bolzano/Bozen,Italy,3,534147,5.616431431796865
SE32,Mellersta Norrland,Sweden,2,375935,5.320068628885313
RS21,Region Šumadije i Zapadne Srbije,Serbia,9,1816449,4.9547220978954
DK03,Syddanmark,Denmark,6,1237413,4.848825735627474
DED5,Leipzig,Germany,5,1076346,4.645346384898536
DEA1,Düsseldorf,Germany,24,5261157,4.561734234503931
SE22,Sydsverige,Sweden,7,1573064,4.449914307364481
CZ01,Praha,Czechia,6,1357326,4.420456102660673
DK04,Midtjylland,Denmark,6,1358879,4.415404167699994
NL32,Noord-Holland,Netherlands,13,2952622,4.402866333719657
DE50,Bremen,Germany,3,684864,4.380431735351836
DED2,Dresden,Germany,7,1598250,4.379790395745347
NO06,Trøndelag/Trööndelage,Norway,2,478470,4.179990386022112
SE33,Övre Norrland,Sweden,2,525472,3.8061019426344314
DEB2,Trier,Germany,2,546565,3.659217110499209
EL51,"Anatoliki Makedonia, Thraki",Greece,2,559730,3.573151340825041
NO0A,Vestlandet,Norway,5,1406920,3.553862337588491
LT01,Sostinės regionas,Lithuania,3,848724,3.534718000197944
ITI2,Umbria,Italy,3,856407,3.5030073317943455
DE40,Brandenburg,Germany,9,2573135,3.4976789014179204
SE12,Östra Mellansverige,Sweden,6,1763645,3.402045196170431
NL21,Overijssel,Netherlands,4,1184333,3.377428476619329
DK05,Nordjylland,Denmark,2,594634,3.3634134610533537
ITC3,Liguria,Italy,5,1507636,3.3164503898819078
ES53,Illes Balears,Spain,4,1209906,3.306041956978476
SE11,Stockholm,Sweden,8,2440027,3.2786522444218855
DE30,Berlin,Germany,12,3755251,3.1955254122826946
BE21,Prov. Antwerpen,Belgium,6,1915921,3.1316531318358116
ES23,La Rioja,Spain,1,322282,3.1028726394896395
FRC1,Bourgogne,France,5,1614580,3.0967805869018568
NL12,Friesland (NL),Netherlands,2,659551,3.0323659580532816
EE00,Eesti,Estonia,4,1365884,2.928506373894123
SK02,Západné Slovensko,Slovakia,5,1806944,2.7671029096640516
SI03,Vzhodna Slovenija,Slovenia,3,1107885,2.7078622781245345
DE23,Oberpfalz,Germany,3,1133741,2.6461070032749983
BE23,Prov. Oost-Vlaanderen,Belgium,4,1563346,2.558614663676499
NO08,Oslo og Viken,Norway,5,2001278,2.498403520150624
RO21,Nord-Est,Romania,8,3224213,2.481225651034842
BG41,Yugozapaden,Bulgaria,5,2016554,2.4794773658429183
CH05,Ostschweiz,Switzerland,3,1217015,2.4650476781305075
BE31,Prov. Brabant wallon,Belgium,1,413959,2.415698173007472
